replicate_index,disc_index,theta_rad,phi_rad,point_count,capture_velocity_mean_m_per_s,capture_velocity_sample_std_m_per_s,loading_rate_atoms_per_s
1,0,1.457732450100625,1.2321308014259056,25,21.275,5.460127130502549,29658585.226566922
2,1,1.3384844104219924,0.8609172676841867,25,19.384375,4.918893773047029,20235426.142066013
3,2,1.5673420794615047,0.24216107092987377,25,22.36875,6.147214710575568,37179627.49990801
4,3,0.40060196789834845,1.0446245108769725,25,18.5625,7.322525846019596,25949603.84570812
5,4,1.146840186104423,0.13255032373604866,25,22.475,6.794881173078011,40243239.52208948
6,5,0.9404099994359895,0.6007277038522987,25,24.703125,8.451233036885801,62952623.28112152
7,6,0.9259539759492723,0.5056439283308706,25,21.74375,6.924784236259639,37163033.37219462
8,7,0.24976483536291105,0.9156687054618924,25,23.85625,7.442504225099573,51971886.088365585
9,8,0.8986655624347945,1.290641528889039,25,19.175,6.50778905307901,25143508.08351854
10,9,1.3592910432132472,1.0202241064044864,25,22.40625,6.2545556313644965,38607304.44638843
