disc_index,point_count,loading_integral_m6_per_s4,loading_rate_atoms_per_s
0,25,65.0970777731497,59365931.046001606
1,25,87.02707029927458,79365207.03012645
2,25,72.29441255516811,65929612.473811105
3,25,88.52468793225924,80730974.40670314
4,25,71.33226331383369,65052170.85168377
5,25,81.53836067707394,74359723.40306436
6,25,55.8541370679704,50936738.840506285
7,25,37.07177166657191,33807972.88904692
8,25,79.35070576016835,72364669.62504312
9,25,60.03685681841575,54751211.944122426
10,25,37.922963991805155,34584226.24196663
11,25,64.7538908636457,59052958.312010325
12,25,83.2186125094241,75892045.8640944
13,25,94.65845083895658,86324720.82709484
14,25,38.94919262017902,35520105.701898456
15,25,33.56754575166641,30612259.0236897
16,25,73.94464382631998,67434557.38385077
17,25,53.40392741751488,48702245.64767687
18,25,131.8564154575072,120247776.64062828
19,25,58.91373460569217,53726969.41100703
20,25,83.70817296402805,76338505.41627502
21,25,100.16276184810043,91344432.29499367
22,25,43.63530889173461,39793656.29690629
23,25,83.88332238887995,76498234.68576296
24,25,62.05644508548207,56592995.66015623
