replicate_index,disc_index,theta_rad,phi_rad,point_count,capture_velocity_mean_m_per_s,capture_velocity_sample_std_m_per_s,loading_rate_atoms_per_s
1,0,1.457732450100625,1.2321308014259056,25,24.51875,5.566448738872928,48186414.16737627
2,1,1.3384844104219924,0.8609172676841867,25,22.1375,5.84350628948137,34674199.76646415
3,2,1.5673420794615047,0.24216107092987377,25,25.55625,5.133726057082387,53913079.95970429
4,3,0.40060196789834845,1.0446245108769725,25,22.325,7.772334249599666,45161126.4286253
5,4,1.146840186104423,0.13255032373604866,25,25.65625,6.421792629236533,60334080.14316932
6,5,0.9404099994359895,0.6007277038522987,25,28.41875,9.071287047487619,103197974.17455177
7,6,0.9259539759492723,0.5056439283308706,25,25.30625,7.595887687796931,63511365.714415565
8,7,0.24976483536291105,0.9156687054618924,25,29.06875,5.106786105068105,84925340.61803883
9,8,0.8986655624347945,1.290641528889039,25,22.7625,7.211621660844852,45146208.30972533
10,9,1.3592910432132472,1.0202241064044864,25,25.3375,6.804306282375522,60459199.986471854
