replicate_index,disc_index,theta_rad,phi_rad,point_count,capture_velocity_mean_m_per_s,capture_velocity_sample_std_m_per_s,loading_rate_atoms_per_s
1,0,1.457732450100625,1.2321308014259056,25,18.128125,5.919246200821309,19456281.89067477
2,1,1.3384844104219924,0.8609172676841867,25,16.090625,4.964190616461308,11327641.013830516
3,2,1.5673420794615047,0.24216107092987377,25,20.05,7.853890357650786,32615561.287647285
4,3,0.40060196789834845,1.0446245108769725,25,14.95625,6.738595629743479,14182697.464730345
5,4,1.146840186104423,0.13255032373604866,25,19.55,7.8181711187417156,30776780.221755125
6,5,0.9404099994359895,0.6007277038522987,25,21.484375,9.709473986326232,49921126.10903867
7,6,0.9259539759492723,0.5056439283308706,25,18.18125,7.507575384306285,24938566.484165613
8,7,0.24976483536291105,0.9156687054618924,25,20.01875,8.571030574217238,36532755.56901143
9,8,0.8986655624347945,1.290641528889039,25,15.903125,6.817537737393263,15852038.239525301
10,9,1.3592910432132472,1.0202241064044864,25,19.246875,7.614512083569986,30633004.875243966
