disc_index,point_count,loading_integral_m6_per_s4,loading_rate_atoms_per_s
0,25,0.636140755671179,580134.9235418884
1,25,1.2362607432004604,1127420.3473690918
2,25,0.6084377433891153,554870.8844611376
3,25,1.155650884651203,1053907.3807665112
4,25,7.905111846182454,7209145.79924455
5,25,0.7007058039419223,639015.6649628754
6,25,2.567032626418464,2341031.0739885825
7,25,0.9146413123472148,834116.291208166
8,25,0.44572116773015447,406479.8761231917
9,25,0.7098009977493882,647310.117907532
10,25,0.9762835794378255,890331.5731041194
11,25,0.9287559685087163,846988.293041209
12,25,1.938228308526333,1767586.6882436746
13,25,1.5778717027980178,1438955.8780836803
14,25,0.6455458284865057,588711.9737465536
15,25,1.2158024251404296,1108763.179631066
16,25,3.3662094737972033,3069848.3917240975
17,25,5.264292630190028,4800824.307028098
18,25,0.5504238282470524,501964.5144081819
19,25,0.4501713663659456,410538.2792710878
20,25,4.944070029112514,4508794.103749448
21,25,1.7268988180562013,1574862.6461145333
22,25,0.7277638907353289,663691.5577949905
23,25,2.53460447016322,2311457.8926100503
24,25,1.2776715537676424,1165185.3501739393
