replicate_index,disc_index,theta_rad,phi_rad,point_count,capture_velocity_mean_m_per_s,capture_velocity_sample_std_m_per_s,loading_rate_atoms_per_s
1,0,1.457732450100625,1.2321308014259056,25,25.15625,5.285047020151129,51485603.79770484
2,1,1.3384844104219924,0.8609172676841867,25,23.20625,5.914002297690062,41059866.12676516
3,2,1.5673420794615047,0.24216107092987377,25,26.2375,4.501048778247872,56488919.54587734
4,3,0.40060196789834845,1.0446245108769725,25,23.68125,7.912135490550787,54467314.92578426
5,4,1.146840186104423,0.13255032373604866,25,26.325,5.784965022582245,62459507.33820027
6,5,0.9404099994359895,0.6007277038522987,25,29.4625,8.711443137417493,112157568.60014902
7,6,0.9259539759492723,0.5056439283308706,25,26.38125,7.450831670231518,71717867.4067713
8,7,0.24976483536291105,0.9156687054618924,25,29.95,4.252785162763926,90774938.80995937
9,8,0.8986655624347945,1.290641528889039,25,23.6875,6.980284036797858,49754864.2874713
10,9,1.3592910432132472,1.0202241064044864,25,26.21875,6.287808816554592,64835028.28061738
