point_index,deterministic_evaluation_count,detuning_n,detuning_rad_per_s,detuning_hz,detuning_mhz,linewidth_rad_per_s,model_state_count,cooling_power_w_per_beam,repump_power_w_per_beam,restoring_slope_x_n_per_m,restoring_slope_x_coarse_n_per_m,restoring_slope_x_relative_change,restoring_slope_x_numerical_uncertainty_n_per_m,restoring_slope_x_converged,turnaround_velocity_x_m_per_s,turnaround_velocity_x_coarse_m_per_s,turnaround_velocity_x_absolute_change_m_per_s,turnaround_velocity_x_numerical_uncertainty_m_per_s,turnaround_force_x_n,turnaround_x_interior,turnaround_x_converged,restoring_slope_y_n_per_m,restoring_slope_y_coarse_n_per_m,restoring_slope_y_relative_change,restoring_slope_y_numerical_uncertainty_n_per_m,restoring_slope_y_converged,turnaround_velocity_y_m_per_s,turnaround_velocity_y_coarse_m_per_s,turnaround_velocity_y_absolute_change_m_per_s,turnaround_velocity_y_numerical_uncertainty_m_per_s,turnaround_force_y_n,turnaround_y_interior,turnaround_y_converged,restoring_slope_z_n_per_m,restoring_slope_z_coarse_n_per_m,restoring_slope_z_relative_change,restoring_slope_z_numerical_uncertainty_n_per_m,restoring_slope_z_converged,turnaround_velocity_z_m_per_s,turnaround_velocity_z_coarse_m_per_s,turnaround_velocity_z_absolute_change_m_per_s,turnaround_velocity_z_numerical_uncertainty_m_per_s,turnaround_force_z_n,turnaround_z_interior,turnaround_z_converged,all_converged,point_wall_time_s
10,1,-1.0,-38138934.81458009,-6070000.0,-6.07,38138934.81458009,24,0.027,0.0001,-4.516077534578709e-19,-4.516217038847202e-19,3.0890583127758785e-05,1.3950426849330756e-23,True,5.194404530872993,5.196917274503091,0.0025127436300982353,0.0025127436300982353,-1.3316732259802143e-20,True,True,-4.516077534578552e-19,-4.516217038847202e-19,3.0890583162516416e-05,1.3950426865027086e-23,True,5.194404530873055,5.196917274503106,0.0025127436300502737,0.0025127436300502737,-1.331673225980214e-20,True,True,-9.031925923537661e-19,-9.031517877324946e-19,4.517820630616154e-05,4.08046212715553e-23,True,5.764609284896855,5.767621765782794,0.003012480885939084,0.003012480885939084,-4.416789731848089e-21,True,True,True,2.1831113999942318
11,1,-1.05,-40045881.555309094,-6373500.0,-6.373500000000001,38138934.81458009,24,0.027,0.0001,-4.541549788721458e-19,-4.541699476450438e-19,3.295961421625634e-05,1.4968772898017975e-23,True,5.393337659321545,5.394091207416838,0.000753548095293155,0.000753548095293155,-1.3644217067821186e-20,True,True,-4.541549788721432e-19,-4.541699476450439e-19,3.295961422219349e-05,1.4968772900714277e-23,True,5.3933376593215305,5.394091207416826,0.0007535480952958196,0.0007535480952958196,-1.3644217067821183e-20,True,True,-9.082875350815009e-19,-9.082502429801158e-19,4.105759458842567e-05,3.729210138509672e-23,True,5.941884847277468,5.944881994262149,0.0029971469846810095,0.0029971469846810095,-4.586250538770313e-21,True,True,True,2.2037757000070997
12,1,-1.1,-41952828.296038106,-6677000.000000002,-6.677000000000001,38138934.81458009,24,0.027,0.0001,-4.556580274716294e-19,-4.556739712829663e-19,3.4990739492375804e-05,1.59438113368696e-23,True,5.5954711416298695,5.596275644597534,0.0008045029676644333,0.0008045029676644333,-1.395058042159622e-20,True,True,-4.556580274716746e-19,-4.556739712829737e-19,3.499073940952901e-05,1.5943811299121374e-23,True,5.595471141629846,5.59627564459752,0.0008045029676733151,0.0008045029676733151,-1.3950580421596224e-20,True,True,-9.1129416262442e-19,-9.112604117271085e-19,3.703622682521801e-05,3.3750897311455124e-23,True,6.124165857046063,6.124198999889233,3.3142843170352876e-05,3.3142843170352876e-05,-4.7510697809763884e-21,True,True,True,2.2218524000199977
13,1,-1.15,-43859775.0367671,-6980500.0,-6.9805,38138934.81458009,24,0.027,0.0001,-4.562154969251656e-19,-4.562323699698632e-19,3.6984812684722906e-05,1.6873044697645026e-23,True,5.800700910317971,5.802438422796821,0.0017375124788499008,0.0017375124788499008,-1.423777418591751e-20,True,True,-4.562154969251815e-19,-4.562323699698632e-19,3.698481264989395e-05,1.6873044681756104e-23,True,5.800700910318002,5.802438422796821,0.0017375124788188145,0.0017375124788188145,-1.42377741859175e-20,True,True,-9.124096608527534e-19,-9.12379446450982e-19,3.311495161409443e-05,3.0214401771371236e-23,True,6.308783137184821,6.311291886403627,0.002508749218805839,0.002508749218805839,-4.911365144502857e-21,True,True,True,2.1722066000220366
14,1,-1.2000000000000002,-45766721.777496114,-7284000.000000001,-7.284000000000002,38138934.81458009,24,0.027,0.0001,-4.559184528250086e-19,-4.559362073653603e-19,3.894235962969721e-05,1.7754540351726627e-23,True,6.009416572270229,6.011122607382177,0.001706035111947557,0.001706035111947557,-1.4507191005420848e-20,True,True,-4.559184528250082e-19,-4.559362073653227e-19,3.894235954816853e-05,1.775454031455618e-23,True,6.009416572270229,6.011122607382165,0.0017060351119360107,0.0017060351119360107,-1.450719100542086e-20,True,True,-9.11816152634755e-19,-9.11789441210919e-19,2.9294747366219988e-05,2.671142383587383e-23,True,6.497860651063525,6.500340367234755,0.0024797161712299953,0.0024797161712299953,-5.067262502923075e-21,True,True,True,2.1915893999976106
15,1,-1.25,-47673668.51822511,-7587500.0,-7.5875,38138934.81458009,24,0.027,0.0001,-4.548508920781091e-19,-4.548694789165301e-19,4.086358572584922e-05,1.8586838420912806e-23,True,6.220431534703539,6.222112122576159,0.001680587872620265,0.001680587872620265,-1.4760379996065475e-20,True,True,-4.548508920781403e-19,-4.548694789165307e-19,4.086358565873434e-05,1.8586838390386817e-23,True,6.220431534703531,6.222112122576152,0.0016805878726211532,0.0016805878726211532,-1.4760379996065478e-20,True,True,-9.096816245386881e-19,-9.096583579241833e-19,2.5576656576520536e-05,2.3266614504797324e-23,True,6.688871778740132,6.691323714311777,0.0024519355716456914,0.0024519355716456914,-5.218934451214626e-21,True,True,True,2.2629546000098344
16,1,-1.3,-49580615.25895412,-7891000.000000001,-7.891000000000002,38138934.81458009,24,0.027,0.0001,-4.530902008834638e-19,-4.531095697651784e-19,4.274840126055178e-05,1.9368881714590323e-23,True,6.433633316068511,6.435199825466064,0.0015665093975529842,0.0015665093975529842,-1.4998763158138047e-20,True,True,-4.53090200883464e-19,-4.531095697651943e-19,4.2748401295194595e-05,1.9368881730286652e-23,True,6.4336333160684624,6.435199825466052,0.0015665093975893996,0.0015665093975893996,-1.499876315813803e-20,True,True,-9.061608427045993e-19,-9.061409418456424e-19,2.1961729109251102e-05,1.9900858956889108e-23,True,6.883860402764522,6.884211179026808,0.0003507762622865229,0.0003507762622865229,-5.3665485780138815e-21,True,True,True,2.2823759999882895
17,1,-1.35,-51487561.99968313,-8194500.000000001,-8.194500000000001,38138934.81458009,24,0.027,0.0001,-4.507075994517538e-19,-4.507276994142172e-19,4.459645785399002e-05,2.0099962463423154e-23,True,6.649509754885011,6.650189783010463,0.0006800281254522034,0.0006800281254522034,-1.522341152258037e-20,True,True,-4.507075994517541e-19,-4.507276994142177e-19,4.459645785441731e-05,2.0099962463615747e-23,True,6.649509754885044,6.650189783010482,0.0006800281254379925,0.0006800281254379925,-1.5223411522580388e-20,True,True,-9.013962421973745e-19,-9.013796105582362e-19,1.8450974565570515e-05,1.6631639138284597e-23,True,7.0807310780956705,7.082122977905164,0.001391899809493502,0.001391899809493502,-5.5101983835215055e-21,True,True,True,2.2382586000021547
18,1,-1.4,-53394508.74041212,-8498000.0,-8.498000000000001,38138934.81458009,24,0.027,0.0001,-4.477685691021e-19,-4.477893487836704e-19,4.6407191134695885e-05,2.0779681570430435e-23,True,6.867125307294919,6.86723210099942,0.00010679370450095149,0.00010679370450095149,-1.5435490310214767e-20,True,True,-4.477685691021162e-19,-4.477893487836787e-19,4.640719111684433e-05,2.0779681562437826e-23,True,6.867125307294931,6.8672321009994155,0.0001067937044840761,0.0001067937044840761,-1.5435490310214797e-20,True,True,-8.95518781116265e-19,-8.95505307747e-19,1.5045322944867978e-05,1.3473369265088747e-23,True,7.280469347887812,7.2824218928146385,0.001952544926826505,0.001952544926826505,-5.650068422372857e-21,True,True,True,2.2561675000179093
19,1,-1.4500000000000002,-55301455.481141135,-8801500.000000002,-8.8015,38138934.81458009,24,0.027,0.0001,-4.443332593660861e-19,-4.44354667282243e-19,4.81798643376151e-05,2.140791615694837e-23,True,7.0863103630056905,7.086873261907792,0.000562898902101594,0.000562898902101594,-1.5636011314034642e-20,True,True,-4.443332593660858e-19,-4.443546672822427e-19,4.8179864337615126e-05,2.140791615694837e-23,True,7.086310363005668,7.086873261907775,0.0005628989021069231,0.0005628989021069231,-1.5636011314034666e-20,True,True,-8.886487547193911e-19,-8.886383170131687e-19,1.1745592583111894e-05,1.04377062224237e-23,True,7.482498466697383,7.484420619330336,0.0019221526329538108,0.0019221526329538108,-5.786241504307266e-21,True,True,True,2.2033718999882694
