velocity_m_per_s,captured_count,launched_count,capture_fraction,capture_cross_section_m2,capture_cross_section_sample_std_m2,capture_cross_section_disc_cluster_sem_m2,capture_cross_section_t95_lower_m2,capture_cross_section_t95_upper_m2,disc_count,student_t_critical_95
0.0,504,625,0.8064,0.000570010571067332,8.548019023319083e-05,1.7096038046638167e-05,0.0005347260827333376,0.0006052950594013265,25,2.0638985616280245
0.25,617,625,0.9872000000000001,0.0006978105602153649,1.3461275452348543e-05,2.6922550904697085e-06,0.0006922540188066087,0.000703367101624121,25,2.0638985616280245
0.5,624,625,0.9984,0.0007057273737024111,5.65486677646164e-06,1.130973355292328e-06,0.0007033931594211837,0.0007068583470577034,25,2.0638985616280245
0.75,625,625,1.0,0.0007068583470577034,1.1065592085860339e-19,2.2131184171720676e-20,0.0007068583470577034,0.0007068583470577034,25,2.0638985616280245
1.0,625,625,1.0,0.0007068583470577034,1.1065592085860339e-19,2.2131184171720676e-20,0.0007068583470577034,0.0007068583470577034,25,2.0638985616280245
1.25,622,625,0.9952000000000002,0.0007034654269918266,9.3775356684849e-06,1.8755071336969802e-06,0.0006995945705162663,0.0007068583470577034,25,2.0638985616280245
1.5,620,625,0.992,0.0007012034802812418,1.1542948471456804e-05,2.308589694291361e-06,0.0006964387853318046,0.000705968175230679,25,2.0638985616280245
1.75,615,625,0.9840000000000001,0.0006955486135047802,1.8251004041881273e-05,3.6502008083762543e-06,0.000688014969306719,0.0007030822577028414,25,2.0638985616280245
2.0,594,625,0.9503999999999998,0.0006717981730436412,4.848038358011846e-05,9.69607671602369e-06,0.0006517864542560049,0.0006918098918312775,25,2.0638985616280245
2.25,579,625,0.9263999999999998,0.0006548335727142563,5.205856963550887e-05,1.0411713927101774e-05,0.0006333448513160285,0.0006763222941124841,25,2.0638985616280245
2.5,556,625,0.8896,0.000628821185542533,6.644969761408523e-05,1.3289939522817046e-05,0.0006013920984772674,0.0006562502726077985,25,2.0638985616280245
2.75,514,625,0.8224,0.0005813203046202553,6.929615664166385e-05,1.3859231328332772e-05,0.0005527162570164392,0.0006099243522240714,25,2.0638985616280245
3.0,451,625,0.7215999999999999,0.0005100689832368388,7.76386642847577e-05,1.552773285695154e-05,0.0004780213177280323,0.0005421166487456452,25,2.0638985616280245
3.25,391,625,0.6255999999999999,0.0004422105819192992,0.00010824553408307096,2.164910681661419e-05,0.0003975290214999577,0.0004868921423386407,25,2.0638985616280245
3.5,320,625,0.512,0.00036191147369354416,0.00012078800729339956,2.415760145867991e-05,0.0003120526347905916,0.0004117703125964967,25,2.0638985616280245
3.75,269,625,0.4304,0.00030423183257363554,0.00012783001146295648,2.5566002292591297e-05,0.0002514661972153776,0.0003569974679318935,25,2.0638985616280245
4.0,236,625,0.37760000000000005,0.00026690971184898884,0.0001313768072400188,2.627536144800376e-05,0.00021268003115019742,0.00032113939254778027,25,2.0638985616280245
4.25,205,625,0.328,0.00023184953783492675,0.00014532200802779653,2.9064401605559306e-05,0.00017186356116663366,0.00029183551450321987,25,2.0638985616280245
4.5,173,625,0.2768,0.00019565839046557229,0.00014914990290268166,2.9829980580536334e-05,0.00013409233645201142,0.00025722444447913315,25,2.0638985616280245
4.75,149,625,0.23839999999999997,0.00016851502993855648,0.0001447432348898159,2.894864697796318e-05,0.00010876795907966082,0.00022826210079745216,25,2.0638985616280245
5.0,135,625,0.21600000000000003,0.00015268140296446396,0.00014509261244985422,2.9018522489970844e-05,9.279011613684265e-05,0.00021257268979208528,25,2.0638985616280245
5.25,113,625,0.18080000000000002,0.0001277999891480328,0.00014257293726478246,2.851458745295649e-05,6.894877311845938e-05,0.00018665120517760621,25,2.0638985616280245
5.5,102,625,0.16319999999999998,0.00011535928223981719,0.0001360697728089071,2.7213954561781417e-05,5.9192440563546106e-05,0.00017152612391608827,25,2.0638985616280245
5.75,91,625,0.1456,0.00010291857533160162,0.00013333979208135285,2.666795841627057e-05,4.787861431470482e-05,0.00015795853634849842,25,2.0638985616280245
6.0,87,625,0.1392,9.839468191043232e-05,0.00013113317827331876,2.622663565466375e-05,4.4265566306429536e-05,0.00015252379751443508,25,2.0638985616280245
6.25,80,625,0.12799999999999997,9.047786842338603e-05,0.00012270322536046807,2.4540645072093613e-05,3.9828466357668146e-05,0.0001411272704891039,25,2.0638985616280245
6.5,65,625,0.10399999999999998,7.351326809400114e-05,0.00010227078401994602,2.0454156803989204e-05,3.129796328693375e-05,0.00011572857290106853,25,2.0638985616280245
6.75,57,625,0.09119999999999999,6.446548125166254e-05,9.7781787463716e-05,1.95563574927432e-05,2.4103143151706414e-05,0.00010482781935161868,25,2.0638985616280245
7.0,54,625,0.08639999999999999,6.107256118578557e-05,9.003499807736285e-05,1.800699961547257e-05,2.3907940580175344e-05,9.823718179139581e-05,25,2.0638985616280245
7.25,49,625,0.0784,5.541769440932394e-05,8.540221868523688e-05,1.7080443737047377e-05,2.016539114846346e-05,9.066999767018443e-05,25,2.0638985616280245
7.5,43,625,0.0688,4.863185427756999e-05,8.183291075223427e-05,1.6366582150446856e-05,1.4852888918495825e-05,8.241081963664417e-05,25,2.0638985616280245
7.75,38,625,0.06079999999999999,4.297698750110836e-05,6.979428306245193e-05,1.3958856612490386e-05,1.4167323416617616e-05,7.178665158559911e-05,25,2.0638985616280245
8.0,37,625,0.059199999999999996,4.184601414581604e-05,6.785840131753953e-05,1.3571680263507906e-05,1.3835442771086626e-05,6.985658552054546e-05,25,2.0638985616280245
8.25,31,625,0.049600000000000005,3.506017401406209e-05,6.492844387386247e-05,1.2985688774772494e-05,8.259029630059955e-06,6.186131839806423e-05,25,2.0638985616280245
8.5,28,625,0.0448,3.166725394818511e-05,5.8471614143799424e-05,1.1694322828759884e-05,7.5313578826938164e-06,5.580315001367641e-05,25,2.0638985616280245
8.75,25,625,0.04,2.8274333882308137e-05,5.475301212564376e-05,1.0950602425128752e-05,5.6734012881245505e-06,5.087526647649173e-05,25,2.0638985616280245
9.0,18,625,0.028800000000000003,2.035752039526186e-05,4.7955359674366236e-05,9.591071934873247e-06,5.625208244060526e-07,4.0152519966117666e-05,25,2.0638985616280245
9.25,16,625,0.0256,1.809557368467721e-05,4.4616146311124994e-05,8.923229262224999e-06,0.0,3.651221372406048e-05,25,2.0638985616280245
9.5,15,625,0.024000000000000004,1.6964600329384886e-05,4.470564719608245e-05,8.941129439216491e-06,0.0,3.541818451831379e-05,25,2.0638985616280245
9.75,13,625,0.020800000000000003,1.4702653618800232e-05,4.008578666486861e-05,8.017157332973721e-06,0.0,3.1249253106670265e-05,25,2.0638985616280245
10.0,13,625,0.020800000000000003,1.4702653618800232e-05,4.008578666486861e-05,8.017157332973721e-06,0.0,3.1249253106670265e-05,25,2.0638985616280245
10.25,10,625,0.016,1.1309733552923255e-05,3.998594644342529e-05,7.997189288685058e-06,0.0,2.781512102290739e-05,25,2.0638985616280245
10.5,9,625,0.0144,1.0178760197630929e-05,3.5465227827758666e-05,7.093045565551733e-06,0.0,2.481808673793519e-05,25,2.0638985616280245
10.75,9,625,0.0144,1.0178760197630929e-05,3.5465227827758666e-05,7.093045565551733e-06,0.0,2.481808673793519e-05,25,2.0638985616280245
11.0,9,625,0.0144,1.0178760197630929e-05,3.5465227827758666e-05,7.093045565551733e-06,0.0,2.481808673793519e-05,25,2.0638985616280245
11.25,8,625,0.0128,9.047786842338604e-06,3.1315234204652506e-05,6.263046840930501e-06,0.0,2.1974080208744008e-05,25,2.0638985616280245
11.5,7,625,0.0112,7.916813487046278e-06,2.770307633149626e-05,5.5406152662992526e-06,0.0,1.935208136569558e-05,25,2.0638985616280245
11.75,7,625,0.0112,7.916813487046278e-06,2.770307633149626e-05,5.5406152662992526e-06,0.0,1.935208136569558e-05,25,2.0638985616280245
