parameter_index,parameter_key,run_signature,model,indexed_state_count,cooling_specification_state_count,repumper_fprime0_extension,cooling_power_w_per_beam,repump_power_w_per_beam,beam_diameter_mm,cooling_peak_intensity_w_per_m2,cooling_peak_intensity_ratio,repump_peak_intensity_w_per_m2,sampling_disc_radius_mm,spectrum_velocity_min_m_per_s,spectrum_velocity_max_m_per_s,spectrum_velocity_step_m_per_s,maximum_capture_threshold_m_per_s,loading_rate_atoms_per_s,simulation_replicate_count,launch_disc_count,points_per_disc,capture_threshold_simulation_count,replicate_loading_rate_mean_atoms_per_s,replicate_loading_rate_sample_std_atoms_per_s,replicate_loading_rate_standard_error_atoms_per_s,replicate_loading_rate_95_percent_half_width_atoms_per_s,loading_rate_disc_cluster_standard_error_atoms_per_s,loading_integral_m6_per_s4,capture_velocity_mean_m_per_s,capture_velocity_std_m_per_s,valid_bracket_count,zero_capture_no_bracket_count,upper_escaped_count,upper_timeout_count,upper_other_count,sample_count,geometry_sha256,elapsed_s
11,011_diameter_mm_16p77058824,69056d998af1ef45d5425a111e4bf4bfa0f2e50a540471686918e368a355d56f,multilevel steady-state population-rate MOT,24,23,True,0.03487539584075708,0.0001,16.770588235294117,315.7640386223976,18.90802626481423,1.5788201931119883,12.0,0.0,41.25,0.25,40.859375,84519537.31472933,10,10,25,250,84519537.31472936,26806983.143676378,8477112.393175812,19176560.51958309,8477112.393175812,92.6789961344021,28.538125,5.861302316358541,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.030999999999039574
12,012_diameter_mm_17p78823529,69056d998af1ef45d5425a111e4bf4bfa0f2e50a540471686918e368a355d56f,multilevel steady-state population-rate MOT,24,23,True,0.039236321517625745,0.0001,17.78823529411765,315.76403862239766,18.908026264814232,1.5788201931119883,12.0,0.0,41.25,0.25,40.859375,88398010.66985214,10,10,25,250,88398010.66985214,28417979.420903534,8986554.146984797,20328997.83196142,8986554.146984799,96.93189467723599,29.035,5.591381796177489,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.030999999999039574
13,013_diameter_mm_18p80588235,69056d998af1ef45d5425a111e4bf4bfa0f2e50a540471686918e368a355d56f,multilevel steady-state population-rate MOT,24,23,True,0.043854077881166145,0.0001,18.805882352941175,315.7640386223976,18.90802626481423,1.5788201931119883,12.0,0.0,41.25,0.25,40.859375,91681570.59894319,10,10,25,250,91681570.5989432,30183912.297545385,9544991.15550094,21592270.110715862,9544991.15550094,100.53244725529979,29.441875,5.337219181722819,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.030999999999039574
14,014_diameter_mm_19p82352941,69056d998af1ef45d5425a111e4bf4bfa0f2e50a540471686918e368a355d56f,multilevel steady-state population-rate MOT,24,23,True,0.04872866493137829,0.0001,19.823529411764703,315.76403862239766,18.908026264814232,1.5788201931119883,12.0,0.0,41.25,0.25,40.859375,94524621.9035307,10,10,25,250,94524621.90353072,31952288.17164701,10104200.707646169,22857290.004574377,10104200.707646169,103.64996480495932,29.7928125,5.090549042174257,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.031000000002677552
15,015_diameter_mm_20p84117647,69056d998af1ef45d5425a111e4bf4bfa0f2e50a540471686918e368a355d56f,multilevel steady-state population-rate MOT,24,23,True,0.05386008266826223,0.0001,20.841176470588234,315.76403862239766,18.908026264814232,1.5788201931119883,12.0,0.0,41.0,0.25,40.625,97037820.73560981,10,10,25,250,97037820.73560981,33857963.547662385,10706828.174556809,24220528.04531074,10706828.17455681,106.40578614808743,30.101875,4.862194961511724,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.031000000002677552
16,016_diameter_mm_21p85882353,69056d998af1ef45d5425a111e4bf4bfa0f2e50a540471686918e368a355d56f,multilevel steady-state population-rate MOT,24,23,True,0.0592483310918179,0.0001,21.85882352941177,315.7640386223976,18.90802626481423,1.5788201931119883,12.0,0.0,41.0,0.25,40.625,99542464.720038,10,10,25,250,99542464.72003801,35583437.88367139,11252471.069152322,25454858.027618706,11252471.069152327,109.15222676437344,30.3884375,4.676718862237311,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.03200000000288128
17,017_diameter_mm_22p87647059,69056d998af1ef45d5425a111e4bf4bfa0f2e50a540471686918e368a355d56f,multilevel steady-state population-rate MOT,24,23,True,0.06489341020204532,0.0001,22.876470588235293,315.76403862239766,18.908026264814232,1.5788201931119883,12.0,0.0,40.75,0.25,40.390625,101163480.87192294,10,10,25,250,101163480.87192294,37160343.62308336,11751132.4483457,26582908.43834331,11751132.448345702,110.92973471635042,30.5834375,4.515852729984255,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.0470000000022992
18,018_diameter_mm_23p89411765,69056d998af1ef45d5425a111e4bf4bfa0f2e50a540471686918e368a355d56f,multilevel steady-state population-rate MOT,24,23,True,0.07079531999894449,0.0001,23.89411764705882,315.76403862239766,18.908026264814232,1.5788201931119883,12.0,0.0,40.75,0.25,40.390625,102586350.11685932,10,10,25,250,102586350.11685933,38701723.93173975,12238559.699934453,27685545.48683996,12238559.699934453,112.48996679334545,30.7440625,4.390587066117269,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.030999999999039574
19,019_diameter_mm_24p91176471,69056d998af1ef45d5425a111e4bf4bfa0f2e50a540471686918e368a355d56f,multilevel steady-state population-rate MOT,24,23,True,0.07695406048251544,0.0001,24.91176470588235,315.76403862239766,18.908026264814232,1.5788201931119883,12.0,0.0,40.75,0.25,40.390625,103973992.16401146,10,10,25,250,103973992.16401145,40191681.73012603,12709725.725977514,28751397.087493483,12709725.725977518,114.0115708627697,30.8815625,4.302436276129636,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.0319999999992433
20,020_diameter_mm_25p92941176,69056d998af1ef45d5425a111e4bf4bfa0f2e50a540471686918e368a355d56f,multilevel steady-state population-rate MOT,24,23,True,0.08336963165275811,0.0001,25.929411764705886,315.76403862239755,18.908026264814225,1.5788201931119883,12.0,0.0,40.75,0.25,40.390625,105226618.43283983,10,10,25,250,105226618.43283984,42048490.82532252,13296900.318071246,30079678.296777837,13296900.318071242,115.38512482218499,31.001875,4.254743033515655,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.0319999999992433
21,021_diameter_mm_26p94705882,69056d998af1ef45d5425a111e4bf4bfa0f2e50a540471686918e368a355d56f,multilevel steady-state population-rate MOT,24,23,True,0.09004203350967258,0.0001,26.94705882352941,315.7640386223977,18.908026264814236,1.5788201931119883,12.0,0.0,40.5,0.25,40.15625,106055618.19556323,10,10,25,250,106055618.19556321,43224039.85702299,13668641.562209142,30920615.41489063,13668641.562209146,116.29415565985704,31.0903125,4.209476253886135,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.030999999999039574
22,022_diameter_mm_27p96470588,69056d998af1ef45d5425a111e4bf4bfa0f2e50a540471686918e368a355d56f,multilevel steady-state population-rate MOT,24,23,True,0.09697126605325872,0.0001,27.964705882352938,315.7640386223976,18.90802626481423,1.5788201931119883,12.0,0.0,40.5,0.25,40.15625,106966291.18216054,10,10,25,250,106966291.18216054,44348126.80982417,14024109.068102134,31724738.779468134,14024109.068102129,117.29274439905319,31.1715625,4.1929273247674175,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.01599999999962165
23,023_diameter_mm_28p98235294,69056d998af1ef45d5425a111e4bf4bfa0f2e50a540471686918e368a355d56f,multilevel steady-state population-rate MOT,24,23,True,0.10415732928351672,0.0001,28.98235294117647,315.76403862239766,18.908026264814232,1.5788201931119883,12.0,0.0,40.5,0.25,40.15625,107907572.33091344,10,10,25,250,107907572.33091347,45625526.58749712,14428058.346106058,32638535.532088764,14428058.346106054,118.32489619162402,31.244375,4.180803600983907,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.030999999999039574
24,024_diameter_mm_30,69056d998af1ef45d5425a111e4bf4bfa0f2e50a540471686918e368a355d56f,multilevel steady-state population-rate MOT,24,23,True,0.11160022320044638,0.0001,29.999999999999996,315.7640386223976,18.90802626481423,1.5788201931119883,12.0,0.0,40.5,0.25,40.15625,108881055.84877597,10,10,25,250,108881055.84877598,46888468.88256121,14827435.766682351,33541990.024682447,14827435.76668235,119.3923591481819,31.3140625,4.191476947796117,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.030999999999039574
