beam_label,axis_name,propagation_sense,propagation_frame_helicity,k_hat_x,k_hat_y,k_hat_z,atom_frame_wavelength_nm,intensity_w_per_m2,intensity_w_per_m2_per_watt_path,optical_spin_intensity_x_w_per_m2,optical_spin_intensity_y_w_per_m2,optical_spin_intensity_z_w_per_m2,differential_vector_polarizability_assumed_si,vector_energy_x_j,vector_energy_y_j,vector_energy_z_j,equivalent_field_x_t,equivalent_field_y_t,equivalent_field_z_t,equivalent_field_x_g,equivalent_field_y_g,equivalent_field_z_g,equivalent_field_x_g_per_watt_path,equivalent_field_y_g_per_watt_path,equivalent_field_z_g_per_watt_path,vector_shift_along_local_axis_hz,sigma_plus_fraction,pi_fraction,sigma_minus_fraction
horizontal_x_incident_trapping,horizontal_x,incident,sigma+,1.0,0.0,0.0,1529.268881,4990.483400651212,130318.58889857575,-4990.483400651212,-0.0,-0.0,-1.1989464507107205e-33,-4.508197819313618e-27,-0.0,-0.0,-0.0004861185128848802,-0.0,-0.0,-4.861185128848802,-0.0,-0.0,-126.9421688254991,-0.0,-0.0,-3928134.1211589826,0.6220084679281462,0.3333333333333333,0.04465819873852045
horizontal_x_retro_trapping,horizontal_x,retro,sigma+,-1.0,-0.0,-0.0,1529.268881,5192.405741849652,135591.4717957804,5192.405741849652,0.0,0.0,-1.1989464507107205e-33,4.690606172408776e-27,0.0,0.0,0.0005057875870689183,0.0,0.0,5.057875870689183,0.0,0.0,132.07843677154773,0.0,0.0,4087072.238893709,0.04465819873852045,0.3333333333333333,0.6220084679281462
horizontal_y_incident_trapping,horizontal_y,incident,sigma+,0.0,1.0,0.0,1529.268881,4990.483400651212,130318.58889857575,-0.0,-4990.483400651212,-0.0,-1.1989464507107205e-33,-0.0,-4.508197819313618e-27,-0.0,-0.0,-0.0004861185128848802,-0.0,-0.0,-4.861185128848802,-0.0,-0.0,-126.9421688254991,-0.0,-3928134.1211589826,0.6220084679281462,0.3333333333333333,0.04465819873852045
horizontal_y_retro_trapping,horizontal_y,retro,sigma+,-0.0,-1.0,-0.0,1529.268881,5192.405741849652,135591.4717957804,0.0,5192.405741849652,0.0,-1.1989464507107205e-33,0.0,4.690606172408776e-27,0.0,0.0,0.0005057875870689183,0.0,0.0,5.057875870689183,0.0,0.0,132.07843677154773,0.0,4087072.238893709,0.04465819873852045,0.3333333333333333,0.6220084679281462
vertical_z_incident_trapping,vertical_z,incident,sigma-,0.0,0.0,1.0,1529.268881,4990.483400651212,130318.58889857575,0.0,0.0,4990.483400651212,-1.1989464507107205e-33,0.0,0.0,4.508197819313618e-27,0.0,0.0,0.0004861185128848802,0.0,0.0,4.861185128848802,0.0,0.0,126.9421688254991,-3928134.1211589826,0.6220084679281462,0.3333333333333333,0.044658198738520435
vertical_z_retro_trapping,vertical_z,retro,sigma-,-0.0,-0.0,-1.0,1529.268881,5192.405741849652,135591.4717957804,-0.0,-0.0,-5192.405741849652,-1.1989464507107205e-33,-0.0,-0.0,-4.690606172408776e-27,-0.0,-0.0,-0.0005057875870689183,-0.0,-0.0,-5.057875870689183,-0.0,-0.0,-132.07843677154773,4087072.238893709,0.044658198738520435,0.3333333333333333,0.6220084679281462
