replicate_index,disc_index,theta_rad,phi_rad,point_count,capture_velocity_mean_m_per_s,capture_velocity_sample_std_m_per_s,loading_rate_atoms_per_s
1,0,1.457732450100625,1.2321308014259056,25,27.8875,2.3982890494232203,64741725.214043
2,1,1.3384844104219924,0.8609172676841867,25,32.10625,4.053254704298346,117749622.8773041
3,2,1.5673420794615047,0.24216107092987377,25,27.41875,2.4465809742458284,60583454.52602593
4,3,0.40060196789834845,1.0446245108769725,25,28.71875,3.6225072248030092,76123417.93383148
5,4,1.146840186104423,0.13255032373604866,25,29.46875,2.791443165804503,80788732.61166243
6,5,0.9404099994359895,0.6007277038522987,25,36.028125,4.538858554655197,184905419.82585606
7,6,0.9259539759492723,0.5056439283308706,25,34.225,4.582921974911312,153095616.36783242
8,7,0.24976483536291105,0.9156687054618924,25,29.56875,2.051818933897433,80550986.71659555
9,8,0.8986655624347945,1.290641528889039,25,31.68125,4.175433485479881,113261828.29423405
10,9,1.3592910432132472,1.0202241064044864,25,31.7125,2.781030539094276,107939117.27272967
