disc_index,point_count,loading_integral_m6_per_s4,loading_rate_atoms_per_s
0,25,49.99046137973839,45589301.15986622
1,25,66.0320728463512,60218609.15295844
2,25,57.20532057629727,52168964.15276006
3,25,58.6960235136815,53528425.603536986
4,25,60.88523391627757,55524897.92228849
5,25,55.28232990300016,50415273.578340024
6,25,43.42527735815223,39602115.939540505
7,25,28.17094521456622,25690775.19787581
8,25,62.90584568770706,57367615.03336133
9,25,46.04692101089128,41992950.08509241
10,25,29.124016817936234,26559938.377285127
11,25,41.37141756129498,37729077.95919857
12,25,70.49271502172905,64286536.39121603
13,25,73.63301212823575,67150361.74046588
14,25,30.46634899445123,27784091.628979743
15,25,23.70965073838589,21622253.087378394
16,25,62.747439964693854,57223155.35020221
17,25,44.85211925921761,40903338.67963609
18,25,112.5435662879285,102635230.71193928
19,25,49.421482994100906,45070415.63130026
20,25,67.58259551601756,61632623.80678738
21,25,88.56929593911313,80771655.12463361
22,25,33.44789637598741,30503143.579045482
23,25,61.61861318057909,56193710.476160906
24,25,48.399979830230826,44138845.605977304
