disc_index,point_count,loading_integral_m6_per_s4,loading_rate_atoms_per_s
0,15,2.8163656438659995e-05,25.68412812580037
1,15,3.847170362607063e-05,35.08465483883137
2,15,9.940126074682103e-06,9.06499737506709
3,15,0.00020413734841487184,186.1650962604265
4,15,1.6750944538018976e-05,15.276191380891786
5,15,2.687501655209136e-05,24.508940094845237
6,15,1.491017449504917e-05,13.597482732505041
7,15,0.00019566773261903503,178.4411454392552
8,15,0.0016915010304480557,1542.5812797274089
9,15,5.172486400044515e-05,47.17100697384596
10,15,1.3437588669090257e-05,12.25454336266355
11,15,8.467511014775219e-06,7.7220313450344085
12,15,0.00020063778103940208,182.97363079669313
13,15,0.00015425335677558968,140.67289124506675
14,15,9.608664782901109e-05,87.62717935414496
