replicate_index,disc_index,theta_rad,phi_rad,point_count,capture_velocity_mean_m_per_s,capture_velocity_sample_std_m_per_s,loading_rate_atoms_per_s
1,0,1.457732450100625,1.2321308014259056,25,24.26875,5.60284264486564,46577574.01057035
2,1,1.3384844104219924,0.8609172676841867,25,21.85,5.6805489230978665,32678532.89414961
3,2,1.5673420794615047,0.24216107092987377,25,25.20625,5.265130416930968,51597572.086778685
4,3,0.40060196789834845,1.0446245108769725,25,21.98125,7.802952499428235,43467526.60172327
5,4,1.146840186104423,0.13255032373604866,25,25.3375,6.47396252346338,58280768.53532063
6,5,0.9404099994359895,0.6007277038522987,25,28.05,9.003503188285011,98800568.35377601
7,6,0.9259539759492723,0.5056439283308706,25,24.95625,7.528364333057348,60648851.749994464
8,7,0.24976483536291105,0.9156687054618924,25,28.60625,5.426720937196635,81542283.58385782
9,8,0.8986655624347945,1.290641528889039,25,22.425,7.130822730407761,42603597.207726836
10,9,1.3592910432132472,1.0202241064044864,25,25.0625,6.736592104104518,58240602.48592264
