disc_index,point_count,loading_integral_m6_per_s4,loading_rate_atoms_per_s
0,30,63.226967798544706,57660465.55356083
1,30,101.57598316812567,92633233.61000389
2,30,81.64879542420084,74460435.4750542
3,30,63.088300145941275,57534006.20109261
4,30,88.04932967573075,80297466.69107941
5,30,57.30645382587832,52261193.631047994
6,30,92.25131821996531,84129512.16387957
7,30,92.14060438829617,84028545.57795057
8,30,98.56340222905284,89885880.29680704
9,30,67.99731742485068,62010833.598766826
10,30,73.51850388236585,67045934.80056236
11,30,94.42191860854362,86109012.89424744
12,30,67.76158414682551,61795854.278538994
13,30,63.12997775290218,57572014.51153667
14,30,123.02099951635603,112190230.71893604
15,30,66.67974939716723,60809264.26024062
16,30,61.92150342080387,56469934.2596363
17,30,83.02933440569845,75719431.80462076
18,30,62.24748979645449,56767220.79477464
19,30,106.00036398241606,96668091.93740416
20,30,70.52078769776207,64312137.5488511
21,30,138.66743094031702,126459150.32033151
22,30,91.47938429249018,83425539.29937935
23,30,82.74014505233745,75455702.68192966
24,30,66.97680529479345,61080167.35663983
25,30,88.55017732569847,80754219.71394397
26,30,58.663968334560806,53499192.56238607
27,30,68.59410682589376,62555081.66094207
28,30,79.57738040069955,72571387.83022197
29,30,94.21199343431148,85917569.5323547
