replicate_index,disc_index,theta_rad,phi_rad,point_count,capture_velocity_mean_m_per_s,capture_velocity_sample_std_m_per_s,loading_rate_atoms_per_s
1,0,1.457732450100625,1.2321308014259056,25,26.7625,4.253694013491881,59658450.06458467
2,1,1.3384844104219924,0.8609172676841867,25,26.43125,6.074468694616427,65222888.49060628
3,2,1.5673420794615047,0.24216107092987377,25,27.7625,3.0640939729388195,64898617.309570424
4,3,0.40060196789834845,1.0446245108769725,25,26.79375,6.91661764227104,72638944.22764428
5,4,1.146840186104423,0.13255032373604866,25,28.36875,4.3317899645383315,74732142.92628586
6,5,0.9404099994359895,0.6007277038522987,25,32.70625,7.627626394072542,148485473.71741992
7,6,0.9259539759492723,0.5056439283308706,25,29.75,7.018506971156092,103812530.84125923
8,7,0.24976483536291105,0.9156687054618924,25,31.14375,2.540252125159036,99679402.66845177
9,8,0.8986655624347945,1.290641528889039,25,26.84375,6.587254897400991,71814449.77021518
10,9,1.3592910432132472,1.0202241064044864,25,28.81875,5.299670476686106,84252473.13125597
