beam_index,beam_label,short_label,axis_name,propagation_sense,helicity,helicity_sign,khat_x,khat_y,khat_z,projected_speed_m_per_s,lab_frequency_hz,atom_frame_frequency_hz,trapping_doppler_shift_hz,atom_frame_wavelength_nm,intensity_w_per_m2,intensity_per_watt_path_m_inv2,field_squared_v2_per_m2,alpha_scalar_assumed_si,alpha_vector_assumed_si,alpha_tensor_assumed_si,epsilon_x_real,epsilon_x_imag,epsilon_y_real,epsilon_y_imag,epsilon_z_real,epsilon_z_imag,vector_angular_factor,tensor_geometry_factor,scalar_energy_j,vector_energy_j,tensor_energy_j,total_energy_j,scalar_shift_hz,vector_shift_hz,tensor_shift_hz,total_shift_hz,scalar_shift_hz_per_watt_path,vector_shift_hz_per_watt_path,tensor_shift_hz_per_watt_path,total_shift_hz_per_watt_path
0,horizontal_x_incident_trapping,x +k (sigma+),horizontal_x,incident,sigma+,-1.0,1.0,0.0,0.0,17.0,196036460118094.8,196036449001671.66,-11116423.15625,1529.2689677185674,4698.445170983782,122692.47195973745,3540093.44602262,4.51232170471312e-34,-1.1899745385240543e-33,9.225006741634155e-34,0.0,0.0,-0.7071067811865475,0.0,-0.0,-0.7071067811865475,-0.0,0.49999999999999956,-1.5974040493200532e-27,-0.0,-8.164346476393382e-28,-2.4138386969593912e-27,-2410786.504154432,-0.0,-1232155.1525368898,-3642941.6566913216,-62953880.442952625,-0.0,-32175784.967396863,-95129665.41034947
1,horizontal_x_retro_trapping,x -k (sigma+),horizontal_x,retro,sigma+,-1.0,-1.0,-0.0,-0.0,-17.0,196036460118094.8,196036471234517.97,11116423.15625,1529.2687942814425,5388.859534516541,140721.5521885499,4060293.4854902374,4.823316353262732e-34,-1.2081984025283286e-33,9.440475875485693e-34,0.0,0.0,0.7071067811865475,0.0,-0.0,-0.7071067811865475,-0.0,0.49999999999999956,-1.95840799676112e-27,-0.0,-9.582775674290568e-28,-2.9166855641901767e-27,-2955610.116444541,-0.0,-1446223.0941353026,-4401833.210579844,-77181088.24069959,-0.0,-37765831.02864367,-114946919.26934327
2,horizontal_y_incident_trapping,y +k (sigma+),horizontal_y,incident,sigma+,-1.0,0.0,1.0,0.0,-8.0,196036460118094.8,196036465349352.78,5231257.96875,1529.2688401912658,5042.986986269056,131689.63707978805,3799692.138310168,4.739336582746328e-34,-1.2032646902807829e-33,9.382305237541322e-34,0.7071067811865475,0.0,0.0,0.0,-0.0,-0.7071067811865475,-0.0,0.49999999999999956,-1.8008019954267e-27,-0.0,-8.912467862578012e-28,-2.692048781684501e-27,-2717752.6869779667,-0.0,-1345060.8974579014,-4062813.584435868,-70969817.29186092,-0.0,-35124140.101636715,-106093957.39349765
3,horizontal_y_retro_trapping,y -k (sigma+),horizontal_y,retro,sigma+,-1.0,-0.0,-1.0,-0.0,8.0,196036460118094.8,196036454886836.84,-5231257.96875,1529.2689218087364,4676.0568365711915,122107.83598077446,3523224.717531152,4.5930072594531025e-34,-1.1946901905416403e-33,9.280921452558038e-34,-0.7071067811865475,0.0,0.0,0.0,-0.0,-0.7071067811865475,-0.0,0.49999999999999956,-1.618219670430519e-27,-0.0,-8.174692965779394e-28,-2.4356889670084582e-27,-2442201.2351174983,-0.0,-1233716.6345544038,-3675917.8696719026,-63774226.505861275,-0.0,-32216560.60309708,-95990787.10895836
4,vertical_z_incident_trapping,z +k (sigma-),vertical_z,incident,sigma-,1.0,0.0,0.0,1.0,4.0,196036460118094.8,196036457502465.84,-2615628.96875,1529.2689014043679,4705.38921715365,122873.80475366792,3545325.511406003,4.6292396333209195e-34,-1.1968106524781617e-33,9.30602768459054e-34,0.7071067811865475,0.0,0.0,-0.7071067811865475,0.0,0.0,1.0,-1.0,-1.6412161370424427e-27,4.243083338553291e-27,1.649644868001469e-27,4.251512069512317e-27,-2476907.276694683,6403619.705947862,2489627.8346848907,6416340.26393807,-64680519.945090786,167220410.71479008,65012697.218152165,167552587.98785147
5,vertical_z_retro_trapping,z -k (sigma-),vertical_z,retro,sigma-,1.0,-0.0,-0.0,-1.0,-4.0,196036460118094.8,196036462733723.78,2615628.96875,1529.2688605956328,4884.036819362023,127538.9046169139,3679929.4458375927,4.702401955036819e-34,-1.2010977432477397e-33,9.356718080541041e-34,-0.7071067811865475,0.0,0.0,-0.7071067811865475,0.0,0.0,-1.0,-1.0,-1.7304507420504253e-27,-4.419954952706438e-27,1.721603119049199e-27,-4.4288025757076636e-27,-2611579.2662569764,-6670552.609085248,2598226.5205103494,-6683905.354831873,-68197266.16683589,-174190941.71844497,67848580.30939074,-174539627.5758901
