axis_pair,fixed_quantization_axis,scalar_shift_hz,vector_shift_hz,tensor_shift_hz,scalar_plus_tensor_shift_hz,total_shift_hz,scalar_shift_hz_per_watt_path,vector_shift_hz_per_watt_path,tensor_shift_hz_per_watt_path,total_shift_hz_per_watt_path
x,z,-5446563.809231322,0.0,-2723248.406564831,-8169812.215796153,-8169812.215796153,-142228408.14828813,0.0,-71113329.32547453,-213341737.47376266
y,z,-5446563.809231322,0.0,-2723248.406564831,-8169812.215796153,-8169812.215796153,-142228408.14828813,0.0,-71113329.32547453,-213341737.47376266
z,z,-5446563.809231322,0.0,5446496.813129666,-66.99610165599734,-66.99610165599734,-142228408.14828813,0.0,142226658.65094918,-1749.4973389503336
all six,z,-16339691.427693969,0.0,4.331163404506403e-09,-16339691.427693965,-16339691.427693963,-426685224.44486445,0.0,1.131014889440916e-07,-426685224.4448643
