axis,speed_m_per_s,pair_scalar_shift_hz,pair_vector_shift_hz,pair_tensor_shift_hz,pair_scalar_plus_tensor_shift_hz,pair_total_shift_hz
x,5.875,-5446858.650791405,36752.56038419437,5446597.772016436,-260.87877496890724,36491.68160922546
x,6.0,-5446871.219666602,37534.97175788507,5446602.075603273,-269.1440633293241,37265.827694555745
x,6.125,-5446884.088640917,38317.18426595628,5446606.482051616,-277.6065893014893,38039.57767665479
x,6.25,-5446897.688352567,39098.91356933117,5446611.138969342,-286.54938322491944,38812.36418610625
x,6.375,-5446911.288064217,39880.642872705124,5446615.79588707,-295.49217714741826,39585.150695557706
x,6.5,-5446924.887775867,40662.372176076286,5446620.452804796,-304.4349710708484,40357.93720500544
x,6.625,-5446938.487487517,41444.10147945117,5446625.109722523,-313.37776499427855,41130.72371445689
x,6.75,-5446952.904565385,42226.3723678058,5446630.046211071,-322.85835431329906,41903.5140134925
x,6.875,-5446967.56829258,43008.8063212689,5446635.067063533,-332.50122904684395,42676.30509222206
x,7.0,-5446982.2320197765,43791.240274733864,5446640.087915992,-342.1441037841141,43449.09617094975
x,7.125,-5446997.358497599,44573.36836070847,5446645.2674076725,-352.09108992666006,44221.27727078181
x,7.25,-5447013.0507548805,45355.12211214658,5446650.640857659,-362.4098972212523,44992.71221492533
x,7.375,-5447028.743247239,46136.875726055354,5446656.014389092,-372.7288581468165,45764.14686790854
x,7.5,-5447044.435510118,46918.62975625601,5446661.387840996,-383.04766912199557,46535.58208713401
x,7.625,-5447060.12752673,47700.38336646091,5446666.761207619,-393.36631911154836,47307.01704734936
x,7.75,-5447076.808358898,48482.79183993954,5446672.472733855,-404.33562504313886,48078.4562148964
