projected_speed_m_per_s,atom_frame_wavelength_nm,scalar_mhz_per_1e5_w_per_m2,vector_mhz_per_1e5_w_per_m2,tensor_aligned_mhz_per_1e5_w_per_m2,scalar_plus_tensor_mhz_per_1e5_w_per_m2,scalar_plus_tensor_over_abs_vector
-25.0,1529.268753472713,-55.70731086306371,137.8926010005377,53.97256523746292,-1.7347456256007874,-0.012580411225936792
-24.875,1529.2687541103492,-55.693780001132005,137.884631620324,53.96788032905454,-1.7258996720774675,-0.012516983595603793
-24.75,1529.2687547479857,-55.68024913437535,137.8766622372685,53.96319541897559,-1.7170537153997643,-0.012453548610314698
-24.625,1529.2687553856222,-55.666718267618705,137.868692854213,53.95851050889663,-1.7082077587220752,-0.01239010629141448
-24.5,1529.2687560232584,-55.65318740568699,137.86072347399931,53.95382560048825,-1.6993618051987411,-0.012326656660257862
-24.375,1529.268756660895,-55.639656538930346,137.85275409094382,53.949140690409294,-1.690515848521052,-0.012263199670322073
-24.25,1529.2687572985312,-55.62613391660304,137.84479017412394,53.94445859183038,-1.6816753247726552,-0.012199774272559612
-24.125,1529.2687579361677,-55.61262473112171,137.8368351671647,53.93978107539354,-1.6728436557281725,-0.012136405001604933
-24.0,1529.2687585738042,-55.59911554564039,137.82888016020544,53.935103558956705,-1.6640119866836827,-0.012073028415739269
-23.875,1529.2687592114405,-55.58560636497627,137.8209251560829,53.93042604418781,-1.6551803207884603,-0.012009644536299262
-23.75,1529.2687598490766,-55.57209718912938,137.81297015479694,53.92574853108686,-1.6463486580425197,-0.011946253362025913
-23.625,1529.268760486713,-55.558588003648055,137.8050151478377,53.921071014650025,-1.6375169889980299,-0.011882854823834211
-23.5,1529.2687611243496,-55.54507881816673,137.79706014087844,53.916393498213175,-1.6286853199535543,-0.011819448965663336
-23.375,1529.2687617619858,-55.53156963750261,137.78910513675586,53.91171598344428,-1.619853654058332,-0.011756035808858945
-23.25,1529.2687623996223,-55.518072097329856,137.78115785085376,53.90704243890539,-1.6110296584244637,-0.011692670344434044
-23.125,1529.2687630372586,-55.50458454363543,137.7732171858161,53.90237230050753,-1.6022122431279016,-0.011629344772917527
-23.0,1529.2687636748951,-55.4910969851315,137.7652765179469,53.89770216044435,-1.5933948246871523,-0.011566011878759438
-22.875,1529.2687643125316,-55.47760942662756,137.75733585007765,53.89303202038116,-1.584577406246396,-0.011502671683277205
-22.75,1529.268764950168,-55.46412187293313,137.74939518504,53.88836188198329,-1.5757599909498339,-0.011439324207798527
-22.625,1529.2687655878044,-55.450634314429195,137.74145451717075,53.88369174192011,-1.5669425725090846,-0.01137596940588246
-22.5,1529.268766225441,-55.437146755925255,137.73351384930154,53.87902160185693,-1.5581251540683283,-0.011312607298853354
-22.375,1529.2687668630772,-55.42365920223083,137.72557318426388,53.874351463459064,-1.5493077387717662,-0.011249237908045865
-22.25,1529.2687675007132,-55.41018668529239,137.71764248797032,53.86968645457038,-1.5405002307220101,-0.01118593233874573
-22.125,1529.2687681383497,-55.3967206968188,137.7097161206468,53.86502367268584,-1.53169702413296,-0.011122650363980476
-22.0,1529.2687687759862,-55.383254708345206,137.70178975332323,53.86036089080131,-1.5228938175438955,-0.011059361103962287
-21.875,1529.2687694136225,-55.369788724673434,137.6938633888261,53.85569811057947,-1.5140906140939663,-0.010996064580005353
-21.75,1529.268770051259,-55.35632273619984,137.68593702150253,53.85103532869494,-1.5052874075049019,-0.010932760745709418
-21.625,1529.2687706888955,-55.34285674772626,137.67801065417896,53.84637254681041,-1.4964842009158517,-0.010869449622385495
-21.5,1529.2687713265318,-55.32939076405447,137.67008428968185,53.841709766588565,-1.4876809974659082,-0.010806131231354286
-21.375,1529.2687719641683,-55.315924775580896,137.6621579223583,53.83704698470404,-1.478877790876858,-0.010742805526199493
