disc_index,point_count,loading_integral_m6_per_s4,loading_rate_atoms_per_s
0,30,0.4333662388470101,395212.67517891934
1,30,0.9310503334910033,849080.6621304554
2,30,1.7043092552592598,1554261.8684262345
3,30,0.09377661762499756,85520.52420929278
4,30,5.630857637315106,5135116.930925884
5,30,0.1499780938524607,136774.02246969004
6,30,0.07381336865093181,67314.83967490378
7,30,0.34407886015742917,313786.1573091691
8,30,0.21290422758058475,194160.13938439006
9,30,0.08784640248708445,80112.40521212154
10,30,1.3688130551650999,1248302.7537883646
11,30,1.1071451901315854,1009672.1275924006
12,30,0.15405792717110056,140494.66726295688
13,30,0.3073199383864702,280263.4910109254
14,30,10.552572662879012,9623524.165639143
15,30,2.99731181956035,2733428.486966257
16,30,1.1477716818563497,1046721.8629857167
17,30,3.4919491837170415,3184517.977582593
18,30,1.0335857678635205,942588.8768608161
19,30,0.02556577121701473,23314.960719068753
20,30,1.2563042785011929,1145699.249821948
21,30,1.2995030976698723,1185094.8449510166
22,30,1.5998950971270056,1459040.3327759441
23,30,1.0924133114968586,996237.2435526751
24,30,1.1531540640245537,1051630.380227832
25,30,0.7492609230785706,683295.9914107333
26,30,0.09267233230986335,84513.46017330298
27,30,1.0846110550148214,989121.8977313165
28,30,0.1865130094018784,170092.40405413703
29,30,0.0761592842496905,69454.22086434775
