point_index,detuning_n,ensemble_index,requested_atom_count,successful_atom_count,complete_atom_count,trapped_atom_count,aligned_trapped_atom_count,complete_outside_core_count,escaped_atom_count,other_incomplete_atom_count,failed_atom_count,duration_complete_fraction,trapped_fraction,initial_temperature_x_k,initial_temperature_y_k,initial_temperature_z_k,initial_temperature_mean_k,plateau_temperature_x_k,plateau_temperature_y_k,plateau_temperature_z_k,plateau_temperature_mean_k,final_temperature_x_k,final_temperature_y_k,final_temperature_z_k,final_temperature_mean_k,plateau_window_1_mean_k,plateau_window_2_mean_k,plateau_window_3_mean_k,plateau_window_4_mean_k,stationarity_metric,relative_drift,stationarity_pass,statistics_pass,survivor_conditioning_warning,valid,quality_status,plateau_max_radius_median_m,plateau_max_radius_p90_m,plateau_max_radius_max_m,termination_counts_json,boundedness_counts_json
0,-10.0,0,25,25,25,5,5,20,0,0,0,1.0,0.2,0.0015017399666358343,0.00011654986318072554,0.0014102058713108619,0.001009498567042474,0.0013744916442844678,0.001016604042808578,0.0014128426252852815,0.0012679794374594424,0.001739092648954472,0.002024118754150746,0.0017330727749889957,0.0018320947260314045,0.0013113023016393074,0.0013640513697569445,0.0011188847045788617,0.0012784877018962575,0.19335224052947203,-0.09965521767265187,False,True,True,False,nonstationary,0.0026324556210267414,0.003888178567318556,0.0045129426834153875,"{""duration"": 25}","{""complete_final_plateau_core"": 5, ""complete_outside_final_plateau_core"": 20}"
0,-10.0,1,25,25,25,8,8,17,0,0,0,1.0,0.32,0.0021167392890719585,0.001730407380348785,0.002093737071696471,0.0019802945803724047,0.0011957583485043173,0.0011359199556269237,0.0013576440280383196,0.001229774110723187,0.0003149055177505884,0.0020410316304382424,0.0020599035367024373,0.001471946894963756,0.001406697382809559,0.0011560444461978434,0.0008643158185507393,0.001513894185718891,0.5282094992113288,-0.05619632986864536,False,True,True,False,nonstationary,0.0022592519816342855,0.003172534850902086,0.0037687892243330992,"{""duration"": 25}","{""complete_final_plateau_core"": 8, ""complete_outside_final_plateau_core"": 17}"
0,-10.0,2,25,25,25,9,9,16,0,0,0,1.0,0.36,0.0013593250369303032,0.0033304059377307466,0.0035296328316978503,0.002739787935452967,0.0012725609292018258,0.0011079298771687618,0.0012784320795128454,0.0012196409619611443,0.0013570924330151516,0.0013339828524562586,0.0015676318971016474,0.001419569060857686,0.0011763602820850792,0.0010153740826687727,0.00127665096179618,0.0014260566512389946,0.33672415192570865,0.33360663915686256,False,True,True,False,nonstationary,0.002382636111493151,0.0033043266377870513,0.0074290967283555595,"{""duration"": 25}","{""complete_final_plateau_core"": 9, ""complete_outside_final_plateau_core"": 16}"
0,-10.0,3,25,25,25,10,10,15,0,0,0,1.0,0.4,0.0011679681986956488,0.002656197806397852,0.003515842890976696,0.0024466696320233987,0.0018327290084736742,0.001250916594117027,0.0013522234548697305,0.0014786230191534773,0.0031361217966287326,0.0010018745017887332,0.0011643211415468997,0.0017674391466547883,0.001467160002663021,0.001586696780381478,0.0014146533990762927,0.0014432618007714202,0.1163537825913744,-0.024498093270639627,True,True,True,True,valid_survivor_conditioned,0.0022934060248919574,0.0035765578773088937,0.0042829623360351255,"{""duration"": 25}","{""complete_final_plateau_core"": 10, ""complete_outside_final_plateau_core"": 15}"
0,-10.0,4,25,25,25,7,7,18,0,0,0,1.0,0.28,0.004551247721034976,0.001625466790336391,0.005617335795110459,0.003931350102160609,0.0018195356358938141,0.0019315537535838773,0.0012957994430266317,0.001682296277501441,0.000856113137949279,0.001906986346542581,0.0016746598190302783,0.0014792531011740462,0.0015212744267608597,0.0018724605692861276,0.0017695429176169393,0.001556208106245202,0.2087540388824091,0.024304477809752714,False,True,True,False,nonstationary,0.0024252159348652222,0.0034734230473337066,0.005331181150291401,"{""duration"": 25}","{""complete_final_plateau_core"": 7, ""complete_outside_final_plateau_core"": 18}"
0,-10.0,5,25,25,25,9,9,16,0,0,0,1.0,0.36,0.002176729240247719,0.0016082986968023022,0.003233087875418161,0.002339371937489394,0.0013492931778229136,0.0013798364778320462,0.0012412171803007075,0.0013234489453185557,0.002454095869399596,0.0020910049412849463,0.001901625585572837,0.0021489087987524597,0.001055261200185796,0.0011627558579323577,0.0013083686596852449,0.001804406823316846,0.5660555518828344,0.6567622346060267,False,True,True,False,nonstationary,0.002411159422283005,0.0036799694890110096,0.005533001855625796,"{""duration"": 25}","{""complete_final_plateau_core"": 9, ""complete_outside_final_plateau_core"": 16}"
0,-10.0,6,25,25,25,8,8,17,0,0,0,1.0,0.32,0.0007024646519330902,0.00210119506018724,0.002145199260127274,0.001649619657415868,0.0019112535751752244,0.0015264166364540948,0.001054716097919713,0.0014974621031830107,0.0010697659228704197,0.002729918260008575,0.0012974616560985609,0.0016990486129925186,0.0016155463152372831,0.0013227458986509952,0.0015317510420891226,0.0015216670778856114,0.1955311028999735,-0.001385539365853493,False,True,True,False,nonstationary,0.002471727205949126,0.003171206911376225,0.004229045144969149,"{""duration"": 25}","{""complete_final_plateau_core"": 8, ""complete_outside_final_plateau_core"": 17}"
0,-10.0,7,25,25,25,3,3,22,0,0,0,1.0,0.12,0.0008769078970011275,0.0009020602236694372,0.007214625882874745,0.002997864667848437,0.0005133378696790684,0.00045791496708749284,0.0015567514990961792,0.000842668111954247,0.00031154651670735036,0.0012932510377282162,0.0011179199464092467,0.0009075725002816044,0.0008696908890568987,0.0007709361160018456,0.0010725904174259922,0.0006420206014470847,0.5109601394318402,-0.13337772815565502,False,False,True,False,insufficient_survivors,0.0025902279758397073,0.003330266625835957,0.004445544655422295,"{""duration"": 25}","{""complete_final_plateau_core"": 3, ""complete_outside_final_plateau_core"": 22}"
0,-10.0,8,25,25,25,3,3,22,0,0,0,1.0,0.12,0.0011242130146343994,0.001939647500143283,0.0007367165332922074,0.0012668590160232966,0.0009806707358991679,0.0022583436710600074,0.0005029964057342687,0.0012473369375644813,0.0002496172651622386,5.5823411242359784e-05,0.0007626433885348071,0.00035602802164646846,0.0009181841529728618,0.002162258252382543,0.0011422020571078687,0.0007266504836471655,1.1509382312837695,-0.5204088717745982,False,False,True,False,insufficient_survivors,0.0026121605199662785,0.003908546332830777,0.004995876375552255,"{""duration"": 25}","{""complete_final_plateau_core"": 3, ""complete_outside_final_plateau_core"": 22}"
0,-10.0,9,25,25,25,8,8,17,0,0,0,1.0,0.32,0.0015578184817446339,0.0019128850607066025,0.0009257226610666662,0.0014654754011726341,0.0014876465193665643,0.0010767961482918845,0.0010534385659459113,0.0012059604112014532,0.002127544708442234,0.0014328270219201734,0.001652709112838546,0.001737693614400318,0.0013749746729279867,0.0010746566632639193,0.0008631985942773997,0.0015364326562644281,0.5582555245875033,0.07065436895822814,False,True,True,False,nonstationary,0.0021263260875977606,0.0031499924935478904,0.003919957289161212,"{""duration"": 25}","{""complete_final_plateau_core"": 8, ""complete_outside_final_plateau_core"": 17}"
