point_index,detuning_n,ensemble_index,requested_atom_count,successful_atom_count,complete_atom_count,trapped_atom_count,aligned_trapped_atom_count,complete_outside_core_count,escaped_atom_count,other_incomplete_atom_count,failed_atom_count,duration_complete_fraction,trapped_fraction,initial_temperature_x_k,initial_temperature_y_k,initial_temperature_z_k,initial_temperature_mean_k,plateau_temperature_x_k,plateau_temperature_y_k,plateau_temperature_z_k,plateau_temperature_mean_k,final_temperature_x_k,final_temperature_y_k,final_temperature_z_k,final_temperature_mean_k,plateau_window_1_mean_k,plateau_window_2_mean_k,plateau_window_3_mean_k,plateau_window_4_mean_k,stationarity_metric,relative_drift,stationarity_pass,statistics_pass,survivor_conditioning_warning,valid,quality_status,plateau_max_radius_median_m,plateau_max_radius_p90_m,plateau_max_radius_max_m,termination_counts_json,boundedness_counts_json
0,-0.5,0,25,25,25,25,25,0,0,0,0,1.0,1.0,0.0013871358724551785,0.0019174496225279588,0.0029147373709946015,0.0020731076219925797,0.0006636756456585723,0.00072615093486676,0.0006581510042910124,0.0006826591949387815,0.0007733341989229417,0.0008506221484010504,0.000314952789023913,0.0006463030454493017,0.0006625831025269869,0.0006721896549411419,0.0007013553793551833,0.0006954960969312341,0.05679594901182479,0.09513683617868833,True,True,False,True,valid,0.0004745334705762517,0.0009627319339243793,0.0010422203564177642,"{""duration"": 25}","{""complete_final_plateau_core"": 25}"
0,-0.5,1,25,25,25,25,25,0,0,0,0,1.0,1.0,0.0015268064840078073,0.001852952529881788,0.0023962186492716255,0.0019253258877204068,0.0007085417408849107,0.0006541275047026565,0.0007750490917816505,0.0007125727791230727,0.00058075715650183,0.000861685380540814,0.0008650785375609807,0.0007691736915345416,0.0006928535090703949,0.000748354859280478,0.0006865379489939415,0.0007233758008161768,0.08675171448818385,0.029127181412067514,True,True,False,True,valid,0.0005329800883131717,0.0008151035702799728,0.0010545255331391066,"{""duration"": 25}","{""complete_final_plateau_core"": 25}"
0,-0.5,2,25,25,25,25,25,0,0,0,0,1.0,1.0,0.0014050376651347982,0.0019320922925401436,0.001626888942434163,0.001654672966703035,0.0006566053998258235,0.0007125685144380675,0.0007210336433929501,0.0006967358525522804,0.0005857860221185038,0.0007263564796891812,0.000609144720034609,0.0006404290739474313,0.0006799527592501349,0.0006815142788429839,0.0007056712622916691,0.0007217275479303374,0.05995785709487063,0.07085449524632875,True,True,False,True,valid,0.00041998319536928197,0.0008156248671667706,0.0013166273407917402,"{""duration"": 25}","{""complete_final_plateau_core"": 25}"
0,-0.5,3,25,25,25,25,25,0,0,0,0,1.0,1.0,0.0018484638828109817,0.0013390038303674769,0.0019674781097325953,0.0017183152743036846,0.0006763185002313613,0.0006749422215929366,0.0006631770314087709,0.0006714792510776896,0.0005837782409048187,0.0007619499556712674,0.0006516265308957307,0.0006657849091572724,0.0006274035200985259,0.000623327812401321,0.0007314604078634076,0.0007064124316866551,0.16103639135317932,0.15217805162352838,False,True,False,False,nonstationary,0.0004699436243671658,0.0007459262848747208,0.0010052915866123496,"{""duration"": 25}","{""complete_final_plateau_core"": 25}"
0,-0.5,4,25,25,25,25,25,0,0,0,0,1.0,1.0,0.0025128764563160343,0.0018374392662777348,0.001966102207173655,0.002105472643255808,0.0007137797870923152,0.0006490459801321163,0.0007747505922143285,0.0007125254531462534,0.0009032306262297388,0.000482274167512505,0.000632109390097109,0.0006725380612797842,0.0007340631027544875,0.0007677737035498868,0.0006452822067678714,0.0007021875783766438,0.17191174889421482,-0.10371508371927068,False,True,False,False,nonstationary,0.00046278862897262686,0.0007443825210602131,0.0009218766968840068,"{""duration"": 25}","{""complete_final_plateau_core"": 25}"
0,-0.5,5,25,25,25,25,25,0,0,0,0,1.0,1.0,0.0020398255758234647,0.0021997729388720942,0.0018055533939974426,0.0020150506362310006,0.0006327545154371219,0.0006777954794378035,0.0007157711751340913,0.0006754403900030055,0.000667763098801317,0.00028567140078435236,0.0006217213486306934,0.0005250519494054542,0.0006793303632231598,0.0006673647074608992,0.0006533874181269742,0.0007038656279674879,0.0747337745678625,0.045655017222679194,True,True,False,True,valid,0.00047327555793564717,0.0007284264817480244,0.0009559952106065582,"{""duration"": 25}","{""complete_final_plateau_core"": 25}"
0,-0.5,6,25,25,25,25,25,0,0,0,0,1.0,1.0,0.0018842375808580587,0.002037074469655189,0.0017193688948432253,0.001880226981785491,0.0006847024892624665,0.0006839134779179448,0.0006997087576869305,0.0006894415749557806,0.0006389446264499088,0.00105040463049352,0.0006553137343163441,0.0007815543304199243,0.0006680058172521103,0.000705779750845326,0.0006813510342465188,0.000703728707689449,0.05478917281081932,0.04413969939732567,True,True,False,True,valid,0.000514443765836539,0.0006717484394370768,0.0010368439959067101,"{""duration"": 25}","{""complete_final_plateau_core"": 25}"
0,-0.5,7,25,25,25,25,25,0,0,0,0,1.0,1.0,0.0022061038533683825,0.001857163745256553,0.0015439330586032394,0.001869066885742725,0.0006942092421196678,0.0006925658480597087,0.0007905447980579385,0.000725773296079105,0.0010289598271084855,0.0009102062551016893,0.001181355827937864,0.0010401739700493463,0.0006837412817174026,0.0007029840197192356,0.0007117789418273422,0.0008111569114668844,0.17555844288819666,0.21326773110837766,False,True,False,False,nonstationary,0.0005795640432637411,0.0010134457450567185,0.0011687611869767602,"{""duration"": 25}","{""complete_final_plateau_core"": 25}"
0,-0.5,8,25,25,25,25,25,0,0,0,0,1.0,1.0,0.002038570167986822,0.0011031756432412177,0.0011956681969910491,0.001445804669406363,0.0007239451400752675,0.0006557886611653039,0.0007152480469778574,0.0006983272827394763,0.0005399757239846987,0.00036345645777876564,0.0005409558501512056,0.00048146267730488995,0.0006815918959700511,0.0006881176047424936,0.0007250175783797421,0.0006986032826261298,0.06218528687485308,0.06327959951046201,True,True,False,True,valid,0.000461107594987345,0.0006715945429203254,0.0011606324636452819,"{""duration"": 25}","{""complete_final_plateau_core"": 25}"
0,-0.5,9,25,25,25,25,25,0,0,0,0,1.0,1.0,0.0011555658125694589,0.0026222328481133672,0.002765645307624418,0.0021811479894357478,0.0007031595519409504,0.0007001423321547548,0.0006644989844382889,0.000689266956177998,0.0005613268948478205,0.00032144167922457795,0.0008442492951110399,0.0005756726230611461,0.0006831589553187497,0.0007147761434565814,0.0006878160821460606,0.0006698207844249841,0.06522198493436553,-0.08123537701089448,True,True,False,True,valid,0.0005134030291658947,0.000642062744356654,0.0010289223666805135,"{""duration"": 25}","{""complete_final_plateau_core"": 25}"
0,-0.5,10,25,25,25,25,25,0,0,0,0,1.0,1.0,0.0019703200181450313,0.0012374143480786838,0.003089204133640436,0.002098979499954717,0.0006395930191155109,0.0006553203871878005,0.0007194103641499036,0.0006714412568177382,0.0008009570130985695,0.0005840123189647537,0.000621755274635988,0.0006689082022331037,0.0006702603498949754,0.0007089802939105108,0.0006658844621398371,0.0006380731433679538,0.10560439922714598,-0.04758211622410638,True,True,False,True,valid,0.0004593344715035022,0.0006509424207207209,0.0007195356351394198,"{""duration"": 25}","{""complete_final_plateau_core"": 25}"
0,-0.5,11,25,25,25,25,25,0,0,0,0,1.0,1.0,0.001317374983415438,0.0014093643297712125,0.0012402568906588203,0.0013223320679484902,0.0006879869717595264,0.0006541955457178912,0.0007286989115611281,0.0006902938096795152,0.0007282213403459087,0.0005078627770369388,0.0006300141912687723,0.00062203276955054,0.0007107218308390982,0.0006760648705151389,0.000689518954716663,0.0006844175637277979,0.050206100414039105,-0.06272236330495716,True,True,False,True,valid,0.0005577123197425637,0.0008049590512991923,0.0009700847364305737,"{""duration"": 25}","{""complete_final_plateau_core"": 25}"
0,-0.5,12,25,25,25,25,25,0,0,0,0,1.0,1.0,0.0014995700220694897,0.0016692882535567137,0.0012940961708233487,0.0014876514821498509,0.0007014234064326596,0.0006913099727291738,0.0006629713792049954,0.0006852349194556096,0.0006227123163657785,0.0008179172359861693,0.0008172216387372955,0.0007526170636964145,0.000681649426004971,0.0006467860553553481,0.0006814536007637857,0.0007348685687185606,0.12854352698953278,0.11998305815134025,True,True,False,True,valid,0.0004891558435302575,0.0008207568426363041,0.0010822135504729982,"{""duration"": 25}","{""complete_final_plateau_core"": 25}"
0,-0.5,13,25,25,25,25,25,0,0,0,0,1.0,1.0,0.0015225451004685165,0.0023131296389510463,0.0016038048156126312,0.001813159851677398,0.0006683111122732265,0.0007097357780146638,0.0007016071464109355,0.0006932180122329419,0.0006253726785480265,0.0008422148036738668,0.0006223647315571096,0.0006966507379263343,0.0007112900041419995,0.0007657356927858083,0.0006501194723031457,0.0006417692853231371,0.17882744717402818,-0.16735733705410397,False,True,False,False,nonstationary,0.0005157045750683126,0.0007707256847871602,0.0010042721733869127,"{""duration"": 25}","{""complete_final_plateau_core"": 25}"
0,-0.5,14,25,25,25,25,25,0,0,0,0,1.0,1.0,0.0035133195947084474,0.0025595507141831166,0.001746907880522258,0.0026065927298046074,0.0006245392310075178,0.0006530773009804461,0.000747058024359965,0.000674891518782643,0.0007888326228985605,0.0007226364262541677,0.0007657405866001858,0.0007590698785843046,0.0006953670962838655,0.0006557942428172972,0.0006698006534252656,0.0006789134629226018,0.058635873122171,-0.01396344210781352,True,True,False,True,valid,0.0005213988716263043,0.0008615902351706298,0.0010587780613816042,"{""duration"": 25}","{""complete_final_plateau_core"": 25}"
0,-0.5,15,25,25,25,25,25,0,0,0,0,1.0,1.0,0.002820158014839781,0.0015195223114296838,0.0015251122198188742,0.001954930848696113,0.0006578190668698308,0.0006697731193389528,0.0007287512287787617,0.0006854478049958484,0.0007408106865403444,0.0005536122172027481,0.0006616661870470393,0.0006520296969300439,0.000667906223642421,0.0007030379262220909,0.0006708996236710588,0.000701155749902155,0.051253651005392996,0.03896728599000965,True,True,False,True,valid,0.0005362432675079135,0.0008746297367273305,0.001232687102380853,"{""duration"": 25}","{""complete_final_plateau_core"": 25}"
0,-0.5,16,25,25,25,25,25,0,0,0,0,1.0,1.0,0.003263182208300734,0.002726789428505376,0.0026141060679215123,0.002868025901575874,0.0006700053888394913,0.0006429344034306466,0.0006835946532291876,0.0006655114818331084,0.0005765350952221409,0.0005823155645967931,0.0005352045214049334,0.0005646850604079558,0.0006703690560929508,0.0006195273839792335,0.0006797704975876392,0.0006946179486592355,0.11283135863136404,0.08188760336033667,True,True,False,True,valid,0.0005553206321428728,0.0007550886272104821,0.0013217494773959258,"{""duration"": 25}","{""complete_final_plateau_core"": 25}"
