point_index,detuning_n,detuning_rad_per_s,detuning_hz,detuning_mhz,cooling_power_w_per_beam,requested_ensemble_count,temperature_ensemble_count,valid_temperature_ensemble_count,requested_atom_count,complete_atom_count,trapped_atom_count,complete_outside_core_count,escaped_atom_count,other_incomplete_atom_count,failed_atom_count,duration_complete_fraction,trapped_fraction,trapped_fraction_sem,trapped_fraction_ci_low,trapped_fraction_ci_high,trapped_fraction_pooled_wilson_low,trapped_fraction_pooled_wilson_high,minimum_survivors_per_ensemble,median_survivors_per_ensemble,maximum_survivors_per_ensemble,initial_temperature_mean_k,plateau_temperature_x_k,plateau_temperature_y_k,plateau_temperature_z_k,plateau_temperature_mean_k,temperature_sem_k,temperature_ci_low_k,temperature_ci_high_k,final_temperature_mean_k,final_temperature_sem_k,cooling_beam_center_on_resonance_saturation_parameter,cooling_beam_center_effective_saturation_parameter,doppler_temperature_k,plateau_over_doppler,stationarity_pass_count,statistics_pass_count,plateau_max_radius_median_m,plateau_max_radius_p90_m,plateau_max_radius_max_m,valid,quality_status,termination_counts_json,boundedness_counts_json,point_wall_time_s
10,-3.0,-114416804.44374028,-18210000.000000004,-18.210000000000004,0.027,25,25,17,625,625,625,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9938912125356713,1.0,25,25.0,25,0.002039414844686413,0.0007762875606777419,0.0007536350807275422,0.0007839045493705677,0.0007712757302586173,4.67516331237806e-06,0.0007616266674228241,0.0007809247930944106,0.0007865371811160604,2.1827694373351393e-05,25.54112954704834,0.690300798568874,0.0004574880973432589,1.6858924521481478,17,25,0.0004393230431719287,0.0006375751540270396,0.0009099217618946708,False,nonstationary,"{""duration"": 625}","{""complete_final_plateau_core"": 625}",227.2733048000082
11,-3.25,-123951538.1473853,-19727500.000000004,-19.727500000000003,0.027,25,25,14,625,625,625,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9938912125356713,1.0,25,25.0,25,0.002039414844686413,0.000819096973673039,0.0008023794714454525,0.0008129357099158705,0.0008114707183447872,5.860243593207854e-06,0.0007993757700219757,0.0008235656666675987,0.0007829295634847497,2.6725206636909294e-05,25.54112954704834,0.5905463479086321,0.000491206434716045,1.6519952936159714,14,25,0.00046709982292819874,0.0006843201006392588,0.0010598590009929928,False,nonstationary,"{""duration"": 625}","{""complete_final_plateau_core"": 625}",227.2083515000122
12,-3.5,-133486271.85103032,-21245000.0,-21.245,0.027,25,25,11,625,625,625,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9938912125356713,1.0,25,25.0,25,0.002039414844686413,0.000847608331644098,0.0008173757147633781,0.0008577482501418759,0.0008409107655164507,6.488926370237967e-06,0.0008275182797144064,0.000854303251318495,0.0008550966116157263,2.218026231314579e-05,25.54112954704834,0.5108225909409668,0.0005255183042419667,1.6001550445125248,11,25,0.000492297580495498,0.0007087275284520999,0.0008931254480004377,False,nonstationary,"{""duration"": 625}","{""complete_final_plateau_core"": 625}",226.52326409998932
13,-3.75,-143021005.55467534,-22762500.0,-22.762500000000003,0.027,25,25,12,625,625,625,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9938912125356713,1.0,25,25.0,25,0.002039414844686413,0.0008893173303229161,0.0008788163325847034,0.0008962038862512915,0.0008881125163863037,6.779202234024702e-06,0.0008741209306465145,0.0009021041021260928,0.0008484194629526372,3.075077172469531e-05,25.54112954704834,0.4461332671973509,0.0005602564834606036,1.5851891813916947,12,25,0.0005447483383945456,0.0007703444048762925,0.0010106278793981362,False,nonstationary,"{""duration"": 625}","{""complete_final_plateau_core"": 625}",227.07161089999136
14,-4.0,-152555739.25832036,-24280000.0,-24.28,0.027,25,25,10,625,625,625,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9938912125356713,1.0,25,25.0,25,0.002039414844686413,0.0009253209586429242,0.0009417388410611427,0.0009228511807742824,0.0009299703268261165,6.560359904140046e-06,0.0009164304094561997,0.0009435102441960333,0.0009167413725090263,3.395338738377946e-05,25.54112954704834,0.39294045456997445,0.0005953088316035314,1.5621645059777405,10,25,0.0005846397999833563,0.0008390470829874281,0.0011714399134619337,False,nonstationary,"{""duration"": 625}","{""complete_final_plateau_core"": 625}",226.267271299992
15,-4.25,-162090472.96196538,-25797500.0,-25.797500000000003,0.027,25,25,8,625,625,625,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9938912125356713,1.0,25,25.0,25,0.002039414844686413,0.0009848782479180257,0.0009936569317191414,0.0009749127516134218,0.0009844826437501964,1.1378625218751566e-05,0.0009609983155279107,0.0010079669719724822,0.0009821258695187859,2.7117986327952504e-05,25.54112954704834,0.34868436241704215,0.0006305979746549866,1.5611890353577929,8,25,0.0006211357369015098,0.0008917556686836301,0.001229898956037035,False,nonstationary,"{""duration"": 625}","{""complete_final_plateau_core"": 625}",225.90008990000933
16,-4.5,-171625206.6656104,-27315000.0,-27.315,0.027,25,25,9,625,625,625,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9938912125356713,1.0,25,25.0,25,0.002039414844686413,0.0010209502414274076,0.0010491400667125524,0.0010079569087351947,0.001026015738958385,8.81142266436239e-06,0.001007829856395511,0.0010442016215212592,0.001007522805533664,3.2489625067700975e-05,25.54112954704834,0.31147718959815046,0.000666069170602324,1.5404041865960598,9,25,0.0006782957594389598,0.0009406728440307491,0.0013525805906756344,False,nonstationary,"{""duration"": 625}","{""complete_final_plateau_core"": 625}",226.0249094000028
17,-4.75,-181159940.36925542,-28832500.0,-28.832500000000003,0.027,25,25,7,625,625,625,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9938912125356713,1.0,25,25.0,25,0.002039414844686413,0.0010832478568674497,0.0010860895360442285,0.0010418850510857751,0.0010704074813324843,1.2070752921662301e-05,0.0010454946717396983,0.0010953202909252703,0.001043484297270237,3.477684562784847e-05,25.54112954704834,0.2799027895566941,0.0007016828178463253,1.5254862369551607,7,25,0.0007250306948793805,0.0010363653878119603,0.0014347230458360747,False,nonstationary,"{""duration"": 625}","{""complete_final_plateau_core"": 625}",228.13571139998385
18,-5.0,-190694674.07290044,-30350000.0,-30.35,0.027,25,25,6,625,625,625,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9938912125356713,1.0,25,25.0,25,0.002039414844686413,0.0011205272059800916,0.001141187458985481,0.001067650322182496,0.0011097883290493563,1.2062527191116817e-05,0.0010848924965300114,0.0011346841615687013,0.0011043784229464182,3.694240916003005e-05,25.54112954704834,0.25288247076285486,0.000737409692742417,1.5049820201332966,6,25,0.0007532386411974627,0.0011021408080923265,0.0015727313533888767,False,nonstationary,"{""duration"": 625}","{""complete_final_plateau_core"": 625}",228.17242890002672
19,-5.25,-200229407.77654546,-31867500.0,-31.8675,0.027,25,25,4,625,625,625,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9938912125356713,1.0,25,25.0,25,0.002039414844686413,0.0011210591911782718,0.00116827845758145,0.0011277105265649471,0.0011390160584415564,1.4729084493279881e-05,0.0011086167221417784,0.0011694153947413343,0.001122282502993286,2.6847626643828643e-05,25.54112954704834,0.22958318693976035,0.000773227841862005,1.4730665358592094,4,25,0.0008319464990045243,0.001196052548954885,0.0016599464462912477,False,nonstationary,"{""duration"": 625}","{""complete_final_plateau_core"": 625}",228.7663370000082
20,-5.5,-209764141.4801905,-33385000.0,-33.385,0.027,25,25,5,625,625,625,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9938912125356713,1.0,25,25.0,25,0.002039414844686413,0.001236124032766937,0.0011852499139911165,0.0011468690066611593,0.0011894143178064042,1.7075549864737667e-05,0.0011541721150015644,0.001224656520611244,0.0012481713389625336,3.6884166888745114e-05,25.54112954704834,0.2093535208774454,0.0008091205058339645,1.4700088667020852,5,25,0.0008626932463170636,0.0012401943830732196,0.0015934672868394605,False,nonstationary,"{""duration"": 625}","{""complete_final_plateau_core"": 625}",228.57955489997403
21,-5.75,-219298875.1838355,-34902500.0,-34.9025,0.027,25,25,10,625,625,625,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9938912125356713,1.0,25,25.0,25,0.002039414844686413,0.0012309360760257777,0.0012708248780800924,0.0011759598235707594,0.0012259069258922098,1.4677719662190482e-05,0.0011956136013934356,0.001256200250390984,0.0011957393684577404,4.300488561854475e-05,25.54112954704834,0.19167827052193875,0.0008450747025993085,1.4506491818078628,10,25,0.0008944580955456493,0.0012715887529322514,0.0017235798637833754,False,nonstationary,"{""duration"": 625}","{""complete_final_plateau_core"": 625}",227.23108100000536
22,-6.0,-228833608.88748056,-36420000.00000001,-36.42000000000001,0.027,25,25,5,625,625,625,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9938912125356713,1.0,25,25.0,25,0.002039414844686413,0.0013219762042130329,0.0013303420879855236,0.0012662177495224441,0.001306178680573667,1.6112146738997954e-05,0.0012729248440943094,0.0013394325170530245,0.0013250346535864592,5.2089346823289464e-05,25.54112954704834,0.17614572101412648,0.0008810802418437627,1.4824741476898136,5,25,0.0009744154466717091,0.001392150060506708,0.0018292259315734172,False,nonstationary,"{""duration"": 625}","{""complete_final_plateau_core"": 625}",228.30038810000406
