replicate_index,disc_index,theta_rad,phi_rad,point_count,capture_velocity_mean_m_per_s,capture_velocity_sample_std_m_per_s,loading_rate_atoms_per_s
1,0,1.457732450100625,1.2321308014259056,25,27.91875,2.236122568336763,64773970.59177298
2,1,1.3384844104219924,0.8609172676841867,25,32.88125,3.571340912242674,127079383.50777224
3,2,1.5673420794615047,0.24216107092987377,25,27.3,2.3946385154740297,59402380.30013845
4,3,0.40060196789834845,1.0446245108769725,25,28.73125,3.3363796301467756,75029810.52825436
5,4,1.146840186104423,0.13255032373604866,25,29.525,2.6472273230684213,80870484.85414734
6,5,0.9404099994359895,0.6007277038522987,25,36.44375,3.866208840813084,189953723.77048627
7,6,0.9259539759492723,0.5056439283308706,25,34.709375,4.235806569198677,159331621.17702028
8,7,0.24976483536291105,0.9156687054618924,25,29.25,1.971785853769369,76652628.34653625
9,8,0.8986655624347945,1.290641528889039,25,32.25,3.6978249695203713,117955010.95077339
10,9,1.3592910432132472,1.0202241064044864,25,31.89375,2.5037894457285477,109507167.92873056
