disc_index,point_index,theta_rad,phi_rad,theta_prime_rad,s_m,radial_distance_m,capture_velocity_m_per_s,velocity_resolution_m_per_s,trapped_velocity_lower_m_per_s,untrapped_velocity_upper_m_per_s,lower_classification,upper_classification,lower_entered_trap_core,upper_entered_trap_core,lower_core_entry_count,upper_core_entry_count,x0_m,y0_m,z0_m,vx_hat,vy_hat,vz_hat
0,0,1.831268604766438,4.187121036645544,3.3485201834116407,0.00245652128687272,0.015,32.5,0.15625,32.5,32.65625,bounded_core_residence,escaped,True,False,1,0,-0.00941314855761216,-0.01144700685483289,-0.0033753762946657885,0.4845303364077101,0.8360054329170052,0.2575369279033239
0,1,1.831268604766438,4.187121036645544,4.472847061662505,0.0025296486133730882,0.015,35.0,0.15625,35.0,35.15625,bounded_core_residence,escaped,True,False,1,0,-0.008104575708666033,-0.012786682938302289,-0.0014885275022551532,0.4845303364077101,0.8360054329170052,0.2575369279033239
0,2,1.831268604766438,4.187121036645544,0.48337735898331613,0.0023289827541905614,0.015,37.1875,0.15625,37.1875,37.34375,two_core_entries,escaped,True,True,2,1,-0.005344014940622622,-0.013332948033688787,-0.00490898785032857,0.4845303364077101,0.8360054329170052,0.2575369279033239
0,3,1.831268604766438,4.187121036645544,0.6520431150801158,0.0027159244926639368,0.015,36.71875,0.15625,36.71875,36.875,bounded_core_residence,escaped,True,False,1,0,-0.005187404203141959,-0.013255354276320056,-0.0054555170691989,0.4845303364077101,0.8360054329170052,0.2575369279033239
0,4,1.831268604766438,4.187121036645544,4.7125880698066025,0.0006702381961687751,0.015,36.40625,0.15625,36.40625,36.5625,two_core_entries,escaped,True,True,2,1,-0.007354394535039116,-0.012689489721075272,-0.0032154239038290604,0.4845303364077101,0.8360054329170052,0.2575369279033239
0,5,1.831268604766438,4.187121036645544,2.3142482992255324,0.0016833809656097585,0.015,34.375,0.15625,34.375,34.53125,bounded_core_residence,escaped,True,False,1,0,-0.008093693553372094,-0.011692635322637658,-0.005060452089614758,0.4845303364077101,0.8360054329170052,0.2575369279033239
0,6,1.831268604766438,4.187121036645544,2.0613240877976575,0.002296355504778354,0.015,33.90625,0.15625,33.90625,34.0625,bounded_core_residence,escaped,True,False,1,0,-0.007942327113781344,-0.011546285630049651,-0.005820307274648688,0.4845303364077101,0.8360054329170052,0.2575369279033239
0,7,1.831268604766438,4.187121036645544,4.628068552064998,0.002245618721176685,0.015,35.625,0.15625,35.625,35.78125,bounded_core_residence,escaped,True,False,1,0,-0.007720556102049019,-0.012943831780880256,-0.001700892631616446,0.4845303364077101,0.8360054329170052,0.2575369279033239
0,8,1.831268604766438,4.187121036645544,2.0250903963453495,0.001748536166106046,0.015,34.6875,0.15625,34.6875,34.84375,bounded_core_residence,escaped,True,False,1,0,-0.00772891733188802,-0.01180523095957412,-0.005381239410408578,0.4845303364077101,0.8360054329170052,0.2575369279033239
0,9,1.831268604766438,4.187121036645544,3.5643588065483285,0.0021747531344007854,0.015,33.4375,0.15625,33.4375,33.59375,bounded_core_residence,escaped,True,False,1,0,-0.009099098412531991,-0.011744388290649093,-0.0030008836953651285,0.4845303364077101,0.8360054329170052,0.2575369279033239
0,10,1.831268604766438,4.187121036645544,0.3377990411567299,0.002430191936258711,0.015,37.1875,0.15625,37.1875,37.34375,two_core_entries,escaped,True,True,2,1,-0.005180193543543212,-0.013510364491849353,-0.0046412798876889795,0.4845303364077101,0.8360054329170052,0.2575369279033239
0,11,1.831268604766438,4.187121036645544,3.8130310285777496,0.0015221863169506125,0.015,34.84375,0.15625,34.84375,35.0,bounded_core_residence,escaped,True,False,1,0,-0.00842134737341321,-0.012153481276852354,-0.0029480251784910765,0.4845303364077101,0.8360054329170052,0.2575369279033239
0,12,1.831268604766438,4.187121036645544,0.055862826248180474,0.0026251986747221727,0.015,37.1875,0.15625,37.1875,37.34375,two_core_entries,escaped,True,False,2,0,-0.004981274714630049,-0.013821760832447889,-0.004004684480675075,0.4845303364077101,0.8360054329170052,0.2575369279033239
0,13,1.831268604766438,4.187121036645544,3.365003854360623,0.002561244208386959,0.015,32.34375,0.15625,32.34375,32.5,bounded_core_residence,escaped,True,False,1,0,-0.009502126821454859,-0.011414118613591569,-0.0033147328759413424,0.4845303364077101,0.8360054329170052,0.2575369279033239
0,14,1.831268604766438,4.187121036645544,0.3385243058685646,0.00292924859299828,0.015,37.1875,0.15625,37.1875,37.34375,bounded_core_residence,escaped,True,False,1,0,-0.004751808305640946,-0.013708818805848549,-0.004803030511503882,0.4845303364077101,0.8360054329170052,0.2575369279033239
0,15,1.831268604766438,4.187121036645544,1.0641320983111309,0.0001944187261475469,0.015,36.40625,0.15625,36.40625,36.5625,two_core_entries,escaped,True,True,2,1,-0.007164376307377285,-0.012549512273512036,-0.004027313305957032,0.4845303364077101,0.8360054329170052,0.2575369279033239
0,16,1.831268604766438,4.187121036645544,1.235687873530022,0.001377483232241409,0.015,36.25,0.15625,36.25,36.40625,two_core_entries,escaped,True,True,2,1,-0.006708017256801585,-0.012477388146798532,-0.005120034137746526,0.4845303364077101,0.8360054329170052,0.2575369279033239
0,17,1.831268604766438,4.187121036645544,6.003217876222895,0.0023366428986251343,0.015,37.1875,0.15625,37.1875,37.34375,two_core_entries,escaped,True,True,2,1,-0.005408411895189791,-0.013810025698843499,-0.0032391620837721176,0.4845303364077101,0.8360054329170052,0.2575369279033239
0,18,1.831268604766438,4.187121036645544,0.6481356520862305,0.0028464408364323275,0.015,36.71875,0.15625,36.71875,36.875,bounded_core_residence,escaped,True,False,1,0,-0.005082740360695575,-0.013295075835648193,-0.005523489330616039,0.4845303364077101,0.8360054329170052,0.2575369279033239
0,19,1.831268604766438,4.187121036645544,5.392248463572166,0.001987726167073991,0.015,36.875,0.15625,36.875,37.03125,two_core_entries,escaped,True,True,2,1,-0.006386392396013191,-0.013511140042917693,-0.0023694181184589574,0.4845303364077101,0.8360054329170052,0.2575369279033239
0,20,1.831268604766438,4.187121036645544,3.5291675570455494,0.002710888789153052,0.015,32.1875,0.15625,32.1875,32.34375,bounded_core_residence,escaped,True,False,1,0,-0.009571736107872725,-0.011509838174523447,-0.0028730490954183025,0.4845303364077101,0.8360054329170052,0.2575369279033239
0,21,1.831268604766438,4.187121036645544,2.1805437079382073,0.0014819591605582144,0.015,34.84375,0.15625,34.84375,35.0,bounded_core_residence,escaped,True,False,1,0,-0.007845313475077083,-0.011843823892554707,-0.005036972804521244,0.4845303364077101,0.8360054329170052,0.2575369279033239
0,22,1.831268604766438,4.187121036645544,4.756396552623598,0.0022356951724035504,0.015,35.9375,0.15625,35.9375,36.09375,bounded_core_residence,escaped,True,False,1,0,-0.007471298068257276,-0.013087072924990705,-0.0017048637291991486,0.4845303364077101,0.8360054329170052,0.2575369279033239
