disc_index,point_count,loading_integral_m6_per_s4,loading_rate_atoms_per_s
0,30,53.07635473216865,48403512.46154852
1,30,97.35439172782338,88783311.08010581
2,30,77.34327482868576,70533972.91276827
3,30,50.583485216528715,46130115.17806552
4,30,82.93968532882626,75637675.4324764
5,30,52.574200052578604,47945567.479949586
6,30,83.26791527491808,75937008.01411429
7,30,90.16068446329855,82222937.80314974
8,30,97.86771675056775,89251442.96784776
9,30,60.10009582789736,54808883.39120928
10,30,68.54266781581973,62508171.34131496
11,30,87.4572690716507,79757531.10258257
12,30,58.92684381487667,53738924.48541493
13,30,56.189960750588,51242996.60610623
14,30,104.58690052281844,95379069.8007895
15,30,58.72614964367504,53555899.42904589
16,30,51.11673863344102,46616420.96415287
17,30,92.30891435428802,84182037.53453651
18,30,58.79588033221573,53619491.02776746
19,30,97.90285374530066,89283486.50156438
20,30,65.20063016928736,59460366.6891833
21,30,113.68155805244585,103673033.68150851
22,30,86.06322191974245,78486215.86192831
23,30,65.28817136058402,59540200.7539982
24,30,58.98435626095122,53791373.535737075
25,30,87.36591649671207,79674221.20834154
26,30,48.87384308819736,44570989.94271246
27,30,63.431404465731106,57846903.61656814
28,30,71.67609866975748,65365734.94287203
29,30,92.49700576047347,84353569.37332138
