replicate_index,disc_index,theta_rad,phi_rad,point_count,capture_velocity_mean_m_per_s,capture_velocity_sample_std_m_per_s,loading_rate_atoms_per_s
1,0,1.457732450100625,1.2321308014259056,25,27.71875,2.7867017027676884,64135836.11375588
2,1,1.3384844104219924,0.8609172676841867,25,30.525,5.03868498262857,101953003.35910285
3,2,1.5673420794615047,0.24216107092987377,25,27.65,2.5525403502360806,62812622.02619896
4,3,0.40060196789834845,1.0446245108769725,25,28.50625,4.418514992571977,76929033.28257462
5,4,1.146840186104423,0.13255032373604866,25,29.2875,3.137371345303793,79774181.43176559
6,5,0.9404099994359895,0.6007277038522987,25,35.296875,5.615135302568036,177306736.8573563
7,6,0.9259539759492723,0.5056439283308706,25,33.11875,5.492041175741645,140333026.49468812
8,7,0.24976483536291105,0.9156687054618924,25,30.16875,2.1809425523536072,87231651.56925713
9,8,0.8986655624347945,1.290641528889039,25,30.375,5.159997060217993,100884209.01456869
10,9,1.3592910432132472,1.0202241064044864,25,31.2375,3.442207950272131,104064347.05111197
