replicate_index,disc_index,theta_rad,phi_rad,point_count,capture_velocity_mean_m_per_s,capture_velocity_sample_std_m_per_s,loading_rate_atoms_per_s
1,0,1.457732450100625,1.2321308014259056,25,24.05,5.601063073389135,45340199.5086996
2,1,1.3384844104219924,0.8609172676841867,25,21.65,5.589456569254594,31299690.810511775
3,2,1.5673420794615047,0.24216107092987377,25,24.9375,5.381370377089526,50349167.71273534
4,3,0.40060196789834845,1.0446245108769725,25,21.725,7.811260318310782,42140315.593802154
5,4,1.146840186104423,0.13255032373604866,25,25.075,6.521935642985906,56084039.568100125
6,5,0.9404099994359895,0.6007277038522987,25,27.771875,8.982481684564776,95373619.81077114
7,6,0.9259539759492723,0.5056439283308706,25,24.70625,7.476678149140388,58479010.82703147
8,7,0.24976483536291105,0.9156687054618924,25,28.2375,5.69018223153925,78999306.3813491
9,8,0.8986655624347945,1.290641528889039,25,22.175,7.04828953836792,40959755.44016691
10,9,1.3592910432132472,1.0202241064044864,25,24.81875,6.685613538443324,56148202.152353376
