replicate_index,disc_index,theta_rad,phi_rad,point_count,capture_velocity_mean_m_per_s,capture_velocity_sample_std_m_per_s,loading_rate_atoms_per_s
1,0,1.457732450100625,1.2321308014259056,25,27.8,2.6404709028015567,64288903.24011691
2,1,1.3384844104219924,0.8609172676841867,25,31.13125,4.747720807354128,108308461.682648
3,2,1.5673420794615047,0.24216107092987377,25,27.55625,2.509292625256502,61983316.41214948
4,3,0.40060196789834845,1.0446245108769725,25,28.625,4.095667887257014,76668518.92889431
5,4,1.146840186104423,0.13255032373604866,25,29.36875,2.9706271477655464,80022769.15985903
6,5,0.9404099994359895,0.6007277038522987,25,35.546875,5.243986045789739,179871477.88430032
7,6,0.9259539759492723,0.5056439283308706,25,33.54375,5.1354377957645125,145010032.9620228
8,7,0.24976483536291105,0.9156687054618924,25,29.95,2.1284439004822278,84438403.94516985
9,8,0.8986655624347945,1.290641528889039,25,30.89375,4.792979892509461,105655164.28681226
10,9,1.3592910432132472,1.0202241064044864,25,31.41875,3.1852652501073857,105387760.21725638
