point_index,deterministic_evaluation_count,detuning_n,detuning_rad_per_s,detuning_hz,detuning_mhz,linewidth_rad_per_s,model_state_count,restoring_slope_x_n_per_m,restoring_slope_x_coarse_n_per_m,restoring_slope_x_relative_change,restoring_slope_x_numerical_uncertainty_n_per_m,restoring_slope_x_converged,turnaround_velocity_x_m_per_s,turnaround_velocity_x_coarse_m_per_s,turnaround_velocity_x_absolute_change_m_per_s,turnaround_velocity_x_numerical_uncertainty_m_per_s,turnaround_force_x_n,turnaround_x_interior,turnaround_x_converged,restoring_slope_y_n_per_m,restoring_slope_y_coarse_n_per_m,restoring_slope_y_relative_change,restoring_slope_y_numerical_uncertainty_n_per_m,restoring_slope_y_converged,turnaround_velocity_y_m_per_s,turnaround_velocity_y_coarse_m_per_s,turnaround_velocity_y_absolute_change_m_per_s,turnaround_velocity_y_numerical_uncertainty_m_per_s,turnaround_force_y_n,turnaround_y_interior,turnaround_y_converged,restoring_slope_z_n_per_m,restoring_slope_z_coarse_n_per_m,restoring_slope_z_relative_change,restoring_slope_z_numerical_uncertainty_n_per_m,restoring_slope_z_converged,turnaround_velocity_z_m_per_s,turnaround_velocity_z_coarse_m_per_s,turnaround_velocity_z_absolute_change_m_per_s,turnaround_velocity_z_numerical_uncertainty_m_per_s,turnaround_force_z_n,turnaround_z_interior,turnaround_z_converged,all_converged,point_wall_time_s
10,1,-4.458333333333333,-170036084.38166955,-27062083.333333332,-27.062083333333334,38138934.81458009,24,-1.2782309909222337e-19,-1.2783385855226405e-19,8.417461411193299e-05,1.0759460040679273e-23,True,21.11689578275271,21.116839777516212,5.600523649818001e-05,5.600523649818001e-05,-1.917837268260161e-20,True,True,-1.2782309909224205e-19,-1.2783385855226405e-19,8.417461396576932e-05,1.0759460021997753e-23,True,21.116895782752714,21.116839777516216,5.600523649818001e-05,5.600523649818001e-05,-1.9178372682601226e-20,True,True,-2.5564339717648466e-19,-2.5565653178623687e-19,5.137863874945355e-05,1.313460975221368e-23,True,21.13573417922695,21.13576574261154,3.1563384588650933e-05,3.1563384588650933e-05,-1.0134874666683613e-20,True,True,True,1.514215699997294
11,1,-4.854166666666666,-185132746.0791075,-29464791.666666664,-29.464791666666663,38138934.81458009,24,-1.0720863739077971e-19,-1.072173691893164e-19,8.144678217359187e-05,8.731798536694431e-24,True,22.989071947981493,22.989142543181355,7.059519986185592e-05,7.059519986185592e-05,-1.9321394948915233e-20,True,True,-1.0720863739077155e-19,-1.0721736918931431e-19,8.144678223018566e-05,8.73179854276111e-24,True,22.989071947981493,22.989142543181373,7.059519987961949e-05,7.059519987961949e-05,-1.9321394948915088e-20,True,True,-2.144147305822926e-19,-2.1442457864460035e-19,4.5929970767482845e-05,9.848062307762409e-24,True,23.002018741551403,23.00207378036191,5.503881050827886e-05,5.503881050827886e-05,-1.0297079017330672e-20,True,True,True,1.490870100002212
12,1,-5.25,-200229407.77654546,-31867500.0,-31.8675,38138934.81458009,24,-9.040982968835696e-20,-9.041693068593914e-20,7.854231787252766e-05,7.100997582184021e-24,True,24.861740431609416,24.86165076806196,8.966354745609806e-05,8.966354745609806e-05,-1.943640991372943e-20,True,True,-9.040982968835699e-20,-9.041693068592939e-20,7.854231776428574e-05,7.10099757239789e-24,True,24.8617404316094,24.861650768061917,8.966354748451977e-05,8.966354748451977e-05,-1.9436409913729623e-20,True,True,-1.808173404294639e-19,-1.8082460116980404e-19,4.01551108035081e-05,7.260740340140767e-24,True,24.870273592835073,24.870269303087746,4.289747327135274e-06,4.289747327135274e-06,-1.0425379281073545e-20,True,True,True,1.5347796999994898
13,1,-5.645833333333333,-215326069.4739834,-34270208.33333333,-34.270208333333336,38138934.81458009,24,-7.667051969391617e-20,-7.667631461104003e-20,7.558207700944722e-05,5.794917123859912e-24,True,26.7347476589549,26.73481532080507,6.766185017070825e-05,6.766185017070825e-05,-1.9529326466507412e-20,True,True,-7.667051969390773e-20,-7.667631461104003e-20,7.558207711951063e-05,5.7949171322978926e-24,True,26.73474765895493,26.734815320805073,6.766185014228654e-05,6.766185014228654e-05,-1.9529326466507604e-20,True,True,-1.5333892167572042e-19,-1.5334417264838769e-19,3.42442258617886e-05,5.250972667266482e-24,True,26.73990192140302,26.739937561807025,3.564040400405588e-05,3.564040400405588e-05,-1.0527399455184021e-20,True,True,True,1.5563172000001941
14,1,-6.041666666666666,-230422731.17142135,-36672916.666666664,-36.672916666666666,38138934.81458009,24,-6.538174634388437e-20,-6.538649555714833e-20,7.263821371467128e-05,4.7492132639655e-24,True,28.607993048980134,28.60788067292517,0.00011237605496461356,0.00011237605496461356,-1.9604576178807135e-20,True,True,-6.538174634388496e-20,-6.538649555714833e-20,7.263821370564951e-05,4.749213263375684e-24,True,28.60799304898011,28.607880672925152,0.00011237605495750813,0.00011237605495750813,-1.9604576178807135e-20,True,True,-1.3076155611219222e-19,-1.3076525792406487e-19,2.8309634595311456e-05,3.701811872650477e-24,True,28.610494340804017,28.610481278118066,1.3062685951581443e-05,1.3062685951581443e-05,-1.060888017974197e-20,True,True,True,1.4822557000006782
15,1,-6.4375,-245519392.86885932,-39075625.0,-39.075625,38138934.81458009,24,-5.605856052905085e-20,-5.60624706683408e-20,6.97509756414925e-05,3.910139289958958e-24,True,30.481408719647515,30.481476604770606,6.788512309086059e-05,6.788512309086059e-05,-1.9665517895212346e-20,True,True,-5.605856052903751e-20,-5.606247066834709e-20,6.975097599150757e-05,3.9101393095793695e-24,True,30.481408719647508,30.481476604770606,6.788512309796602e-05,6.788512309796602e-05,-1.9665517895211672e-20,True,True,-1.1211534791160745e-19,-1.1211786083125077e-19,2.241369883897703e-05,2.5129196433179016e-24,True,30.481765623978237,30.481790592529002,2.4968550764725705e-05,2.4968550764725705e-05,-1.0674140157799215e-20,True,True,True,1.472738100001152
16,1,-6.833333333333333,-260616054.56629726,-41478333.33333333,-41.47833333333333,38138934.81458009,24,-4.831677149546417e-20,-4.832000583060455e-20,6.694021641498968e-05,3.234335140379976e-24,True,32.35494757860295,32.3548182487356,0.00012932986735592067,0.00012932986735592067,-1.9714720869923925e-20,True,True,-4.8316771495455e-20,-4.832000583060455e-20,6.694021660483794e-05,3.2343351495522173e-24,True,32.35494757860295,32.354818248735604,0.00012932986734881524,0.00012932986734881524,-1.9714720869924503e-20,True,True,-9.663191733863924e-20,-9.663352021541928e-20,1.658744671725576e-05,1.6028767800409414e-24,True,32.3535139396299,32.353494906047466,1.9033582432825824e-05,1.9033582432825824e-05,-1.0726437097743992e-20,True,True,True,1.5070997000002535
17,1,-7.229166666666666,-275712716.26373523,-43881041.66666667,-43.88104166666667,38138934.81458009,24,-4.1852445499659425e-20,-4.185513297551155e-20,6.421311395403439e-05,2.6874758521246444e-24,True,34.228576088213174,34.228645857296115,6.976908294120676e-05,6.976908294120676e-05,-1.9754165644641755e-20,True,True,-4.185244549965214e-20,-4.185513297551155e-20,6.421311412804788e-05,2.687475859407067e-24,True,34.22857608821316,34.228645857296144,6.976908298383933e-05,6.976908298383933e-05,-1.9754165644641562e-20,True,True,-8.370339842787173e-20,-8.370430601051834e-20,1.0842841075134075e-05,9.075826466020406e-25,True,34.225593938686195,34.22561277662959,1.883794339363476e-05,1.883794339363476e-05,-1.0768239864063698e-20,True,True,True,1.5301397000002908
18,1,-7.625,-290809377.9611732,-46283750.0,-46.283750000000005,38138934.81458009,24,-3.642489931319523e-20,-3.642714196723619e-20,6.156925848103652e-05,2.242654040959847e-24,True,36.10226973111635,36.10212677936104,0.00014295175530776305,0.00014295175530776305,-1.978538820187084e-20,True,True,-3.6424899313185445e-20,-3.642714196727148e-20,6.156925971846979e-05,2.2426540860326262e-24,True,36.10226973111634,36.10212677936106,0.00014295175527934134,0.00014295175527934134,-1.978538820187084e-20,True,True,-7.284842612332897e-20,-7.284880353560498e-20,5.180788331157493e-06,3.774122760029314e-25,True,36.097898686322296,36.09787520637533,2.3479946968052445e-05,2.3479946968052445e-05,-1.0801429634214511e-20,True,True,True,1.5681464999979653
19,1,-8.020833333333332,-305906039.6586111,-48686458.333333336,-48.686458333333334,38138934.81458009,24,-3.184304462968244e-20,-3.184492349619063e-20,5.9003984387881915e-05,1.8788665081924097e-24,True,37.97601008499317,37.97608265678374,7.257179056807672e-05,7.257179056807672e-05,-1.9809584418951434e-20,True,True,-3.1843044629688553e-20,-3.184492349619063e-20,5.900398419584034e-05,1.878866502077582e-24,True,37.97601008499316,37.97608265678376,7.257179059649843e-05,7.257179059649843e-05,-1.980958441895105e-20,True,True,-6.368482512782603e-20,-6.36847994203729e-20,4.0366685592455927e-07,2.57074531294549e-26,True,37.97034736489074,37.970362496515264,1.5131624522268794e-05,1.5131624522268794e-05,-1.0827447136295998e-20,True,True,True,1.4806618000002345
20,1,-8.416666666666666,-321002701.35604906,-51089166.666666664,-51.089166666666664,38138934.81458009,24,-2.795461986856026e-20,-2.795619959818792e-20,5.651050291820492e-05,1.5797296276595838e-24,True,39.849782881640465,39.84962838982412,0.00015449181634608067,0.00015449181634608067,-1.9827686361642847e-20,True,True,-2.7954619868564757e-20,-2.795619959818792e-20,5.6510502757369366e-05,1.5797296231637411e-24,True,39.84978288164045,39.84962838982411,0.00015449181633897524,0.00015449181633897524,-1.9827686361643617e-20,True,True,-5.590807351040621e-20,-5.590774264721716e-20,5.917985869991973e-06,3.308631890530565e-25,True,39.842876780643316,39.84284966441601,2.7116227307999452e-05,2.7116227307999452e-05,-1.0847400024455903e-20,True,True,True,1.4789536999996926
21,1,-8.8125,-336099363.05348706,-53491875.00000001,-53.49187500000001,38138934.81458009,24,-2.4637782179709654e-20,-2.4639114622208115e-20,5.408126789749595e-05,1.3324424984610294e-24,True,41.72357668099545,41.72365257003271,7.588903726230001e-05,7.588903726230001e-05,-1.9840418333678948e-20,True,True,-2.4637782179711448e-20,-2.4639114622219436e-20,5.4081268284188125e-05,1.3324425079883641e-24,True,41.72357668099549,41.72365257003271,7.588903721966744e-05,7.588903721966744e-05,-1.984041833367914e-20,True,True,-4.9274486709007143e-20,-4.927392645886812e-20,1.136998427465643e-05,5.602501390231785e-25,True,41.71543538430846,41.71544811759433,1.2733285863930632e-05,1.2733285863930632e-05,-1.0862141157514954e-20,True,True,True,1.4865645999998378
22,1,-9.208333333333332,-351196024.75092494,-55894583.33333333,-55.89458333333333,38138934.81458009,24,-2.1794573831075068e-20,-2.179570080350916e-20,5.1708853902177415e-05,1.1269724340912798e-24,True,43.59738193481586,43.59721727832321,0.0001646564926502947,0.0001646564926502947,-1.9848338163666212e-20,True,True,-2.1794573831079564e-20,-2.179570080351398e-20,5.1708853917078744e-05,1.1269724344162804e-24,True,43.597381934815864,43.5972172783232,0.00016465649266450555,0.00016465649266450555,-1.9848338163666404e-20,True,True,-4.35881503006843e-20,-4.3587419481842026e-20,1.6766456874960368e-05,7.308188422757141e-25,True,43.58797894466123,43.58794857566624,3.036899499164747e-05,3.036899499164747e-05,-1.0872325714399582e-20,True,True,True,1.4944849999992584
23,1,-9.604166666666666,-366292686.44836295,-58297291.66666667,-58.29729166666667,38138934.81458009,24,-1.9345853077534143e-20,-1.9346808500950935e-20,4.9386471248518036e-05,9.554234167916942e-25,True,45.47119029842278,45.47126977614852,7.94777257340229e-05,7.94777257340229e-05,-1.9851867547746183e-20,True,True,-1.9345853077554038e-20,-1.934680850095648e-20,4.9386470506800395e-05,9.554234024435161e-25,True,45.471190298422734,45.471269776148496,7.94777257624446e-05,7.94777257624446e-05,-1.9851867547744835e-20,True,True,-3.869078173723329e-20,-3.868992619568543e-20,2.2112283842515136e-05,8.555415478625033e-25,True,45.46046729089605,45.460478309670215,1.1018774166871026e-05,1.1018774166871026e-05,-1.0878452868014813e-20,True,True,True,1.4977899000004982
24,1,-10.0,-381389348.1458009,-60700000.0,-60.7,38138934.81458009,24,-1.7227358995654397e-20,-1.7228170547337492e-20,4.710830506867198e-05,8.115516830948179e-25,True,47.34499409779702,47.34482020801008,0.0001738897869429934,0.0001738897869429934,-1.9851314112220386e-20,True,True,-1.7227358995629712e-20,-1.7228170547337492e-20,4.710830650163498e-05,8.115517077798231e-25,True,47.344994097796935,47.34482020801005,0.00017388978688614998,0.00017388978688614998,-1.985131411222154e-20,True,True,-3.445386001684454e-20,-3.4452915641786596e-20,2.7409847763912633e-05,9.443750579408652e-25,True,47.332861716914145,47.33282819455456,3.352235958686833e-05,3.352235958686833e-05,-1.0880896090210429e-20,True,True,True,1.5061222999975143
