disc_index,point_count,loading_integral_m6_per_s4,loading_rate_atoms_per_s
0,25,0.4142206822488582,377752.6933836687
1,25,1.2177452883096187,1110534.9931268399
2,25,0.6577937886190095,599881.623468992
3,25,0.9811928331686428,894808.6161364755
4,25,8.76363492528504,7992084.506462945
5,25,0.6109250268423135,557139.1874791163
6,25,3.2531140357884105,2966709.876077599
7,25,1.0234458203092638,933341.6502892362
8,25,0.4394502029644382,400761.0070954491
9,25,0.7230775345799909,659417.7884355686
10,25,1.1743871970058821,1070994.1481814843
11,25,1.001508519418485,913335.7093688815
12,25,1.8563295470363474,1692898.2937152674
13,25,1.7237492523677211,1571990.3681892669
14,25,0.660724898676849,602554.6785973392
15,25,1.3797268055428629,1258255.6575828693
16,25,2.9236542176413263,2666255.7003201838
17,25,4.640305404229,4231772.916440679
18,25,0.4949296196012063,451356.0158915161
19,25,0.8049387267203879,734071.9212199249
20,25,4.874211748985829,4445086.146605116
21,25,1.9518878342330939,1780043.6293072123
22,25,0.7759657514239764,707649.7266686095
23,25,2.8227836703432576,2574265.796006237
24,25,1.3371411744551767,1219419.2654561428
