replicate_index,disc_index,theta_rad,phi_rad,point_count,capture_velocity_mean_m_per_s,capture_velocity_sample_std_m_per_s,loading_rate_atoms_per_s
1,0,1.457732450100625,1.2321308014259056,25,20.0,5.2657640931183956,23815777.683407765
2,1,1.3384844104219924,0.8609172676841867,25,18.35,4.730720880804883,16478430.819293462
3,2,1.5673420794615047,0.24216107092987377,25,21.1375,6.272667229071431,31309031.600779124
4,3,0.40060196789834845,1.0446245108769725,25,17.05625,6.822819258210519,19149184.247869927
5,4,1.146840186104423,0.13255032373604866,25,21.43125,6.89194762438686,34957898.967577286
6,5,0.9404099994359895,0.6007277038522987,25,23.38125,8.130867272571031,51681108.21909134
7,6,0.9259539759492723,0.5056439283308706,25,20.425,6.678738663116587,29665173.984855346
8,7,0.24976483536291105,0.9156687054618924,25,22.1375,7.672537946577173,42258815.714917734
9,8,0.8986655624347945,1.290641528889039,25,17.85625,6.16866345768406,19529926.095450904
10,9,1.3592910432132472,1.0202241064044864,25,21.275,6.068101739750112,31919953.34740784
