time_s,x_m,y_m,z_m,vx_m_per_s,vy_m_per_s,vz_m_per_s,fx_n,fy_n,fz_n,scattering_rate_per_s,beff_x_t,beff_y_t,beff_z_t,quantization_x,quantization_y,quantization_z,reference_scalar_shift_hz,reference_vector_shift_hz,reference_tensor_shift_hz,reference_total_shift_hz,trap_component_00_atom_frame_wavelength_nm,trap_component_01_atom_frame_wavelength_nm,trap_component_02_atom_frame_wavelength_nm,trap_component_03_atom_frame_wavelength_nm,trap_component_04_atom_frame_wavelength_nm,trap_component_05_atom_frame_wavelength_nm
0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,-6.136053043748894e-22,70794573.1517589,0.0,0.0,-0.00020406079296160165,0.0,0.0,-1.0,-12762153.287804602,2856040.386929212,2037981.6022309032,-7868131.298644486,1529.268881,1529.268881,1529.268881,1529.268881,1529.268881,1529.268881
4.9999999999999996e-06,0.0,0.0,0.000999893459460444,0.0,0.0,-0.021308107911204247,0.0,0.0,-6.053990864504335e-22,70801694.01864174,0.0,0.0,-0.00020402835470364843,0.0,0.0,-1.0,-12762712.353828155,2855586.380192046,2037608.7700924084,-7869517.203543701,1529.268881,1529.268881,1529.268881,1529.268881,1529.2688808913053,1529.2688811086944
9.999999999999999e-06,0.0,0.0,0.0009996817999515034,0.0,0.0,-0.042331901788129005,0.0,0.0,-5.970132333231791e-22,70809727.75269291,0.0,0.0,-0.00020397373132520147,0.0,0.0,-1.0,-12763869.46068021,2854821.8699073857,2036884.2015151633,-7872163.389257659,1529.268881,1529.268881,1529.268881,1529.268881,1529.2688807840611,1529.268881215939
1.4999999999999999e-05,0.0,0.0,0.0009993664741617097,0.0,0.0,-0.0630651579587153,0.0,0.0,-5.884633737932402e-22,70818656.49485515,0.0,0.0,-0.00020389723599333994,0.0,0.0,-1.0,-12765616.342540259,2853751.2391701564,2035812.8261590325,-7876052.27721107,1529.268881,1529.268881,1529.268881,1529.268881,1529.268880678299,1529.2688813217012
1.9999999999999998e-05,0.0,0.0,0.0009989489631905648,0.0,0.0,-0.08350219422899459,0.0,0.0,-5.797648277762741e-22,70828461.47415555,0.0,0.0,-0.00020379918834223764,0.0,0.0,-1.0,-12767944.549983576,2852378.9615889145,2034399.6935670278,-7881165.894827634,1529.268881,1529.268881,1529.268881,1529.268881,1529.2688805740474,1529.2688814259523
2.4999999999999998e-05,0.0,0.0,0.0009984307738946576,0.0,0.0,-0.10363785918142486,0.0,0.0,-5.709325787253754e-22,70839123.06319419,0.0,0.0,-0.00020367991400024416,0.0,0.0,-1.0,-12770845.465839949,2850709.5946668624,2032649.9633590255,-7887485.907814061,1529.268881,1529.268881,1529.268881,1529.268881,1529.268880471334,1529.2688815286663
2.9999999999999997e-05,0.0,0.0,0.0009978134362920688,0.0,0.0,-0.12346752051775099,0.0,0.0,-5.619812469512758e-22,70850620.84195411,0.0,0.0,-0.00020353974393111574,0.0,0.0,-1.0,-12774310.324135698,2848747.7705817,2030568.8969080485,-7894993.656645952,1529.268881,1529.268881,1529.268881,1529.268881,1529.268880370181,1529.2688816298191
3.5e-05,0.0,0.0,0.0009970985010296814,0.0,0.0,-0.14298705247751206,0.0,0.0,-5.529250696677004e-22,70862933.64732622,0.0,0.0,-0.00020337901388765102,0.0,0.0,-1.0,-12778330.220312633,2846498.188538693,2028161.8464256069,-7903670.185348333,1529.268881,1529.268881,1529.268881,1529.268881,1529.26888027061,1529.26888172939
3.9999999999999996e-05,0.0,0.0,0.0009962875369168554,0.0,0.0,-0.1621928225651968,0.0,0.0,-5.437778812840669e-22,70876039.62936826,0.0,0.0,-0.0002031980638458461,0.0,0.0,-1.0,-12782896.126466671,2843965.6068510944,2025434.2462271648,-7913496.273388413,1529.268881,1529.268881,1529.268881,1529.268881,1529.2688801726397,1529.2688818273605
4.4999999999999996e-05,0.0,0.0,0.0009953821285288824,0.0,0.0,-0.18108167759461638,0.0,0.0,-5.345530960893496e-22,70889916.30731037,0.0,0.0,-0.00020299723746195148,0.0,0.0,-1.0,-12787998.907082468,2841154.8353410973,2022391.6046207033,-7924452.467120669,1529.268881,1529.268881,1529.268881,1529.268881,1529.2688800762855,1529.2688819237144
4.9999999999999996e-05,0.0,0.0,0.0009943838738832157,0.0,0.0,-0.19965092913333957,0.0,0.0,-5.2526369583171015e-22,70904540.61604106,0.0,0.0,-0.0002027768816114823,0.0,0.0,-1.0,-12793629.329169873,2838070.7288878085,2019039.494315265,-7936519.105966798,1529.268881,1529.268881,1529.268881,1529.268881,1529.2688799815623,1529.2688820184376
5e-05,0.0,0.0,0.0009943838738832157,0.0,0.0,-0.1996509291333396,0.0,0.0,-5.2526369583171015e-22,70904540.61604106,0.0,0.0,-0.0002027768816114823,0.0,0.0,-1.0,-12793629.329169873,2838070.7288878085,2019039.494315265,-7936519.105966798,1529.268881,1529.268881,1529.268881,1529.268881,1529.2688799815623,1529.2688820184376
