time_s,x_m,y_m,z_m,vx_m_per_s,vy_m_per_s,vz_m_per_s,fx_n,fy_n,fz_n,scattering_rate_per_s,beff_x_t,beff_y_t,beff_z_t,quantization_x,quantization_y,quantization_z,reference_scalar_shift_hz,reference_vector_shift_hz,reference_tensor_shift_hz,reference_total_shift_hz,trap_component_00_atom_frame_wavelength_nm,trap_component_01_atom_frame_wavelength_nm,trap_component_02_atom_frame_wavelength_nm,trap_component_03_atom_frame_wavelength_nm,trap_component_04_atom_frame_wavelength_nm,trap_component_05_atom_frame_wavelength_nm
0.0,0.0008,-0.0007,0.0009,-0.15,0.1,-0.05,1.1159510903699715e-22,-1.1415860313351114e-22,-3.871508990523264e-22,56439017.939194076,4.125144940464179e-05,-2.9139484988698568e-05,-5.791753388387576e-05,0.5368101460785502,-0.37919567479917077,-0.7536879375980002,-9481790.433906684,1075531.8387971723,140665.94954292392,-8265592.645566587,1529.2688802348362,1529.2688817651635,1529.2688815101092,1529.268880489891,1529.2688807449451,1529.2688812550546
4.9999999999999996e-06,0.0007992693317164791,-0.0006995197757927607,0.0008996826883513596,-0.1461336567041909,0.09604484144786442,-0.06346232972808463,1.015160407737996e-22,-1.0241552850961756e-22,-3.5474116139204704e-22,56477436.84432593,4.1286811093456095e-05,-2.91987929288701e-05,-5.802807819430507e-05,0.5363992009288047,-0.3793513904398878,-0.753902128803377,-9488448.666250963,1077278.5001375154,140963.07573745618,-8270207.090375992,1529.2688802545588,1529.2688817454414,1529.2688814899336,1529.2688805100663,1529.2688806762728,1529.268881323727
9.999999999999999e-06,0.0007985562491437949,-0.0006990572931153902,0.0008993036794207388,-0.14261651453685148,0.09249653547409072,-0.07580178612414709,9.234659399464014e-23,-9.187980462750284e-23,-3.249324132878528e-22,56516888.840544455,4.1327781229166636e-05,-2.9262367552608336e-05,-5.813114157755398e-05,0.536069266967706,-0.37956685447695043,-0.7540283442916318,-9495250.485299738,1079011.2051243598,141133.95283929745,-8275105.327336081,1529.2688802725002,1529.2688817274998,1529.2688814718333,1529.2688805281666,1529.2688806133283,1529.2688813866719
1.4999999999999999e-05,0.000797859163850815,-0.0006986107268554017,0.0008988681370031456,-0.1394170585959678,0.08931325199771521,-0.08710848351863981,8.400614175228937e-23,-8.242796237006621e-23,-2.9751080724298636e-22,56557283.10891774,4.13739039774615e-05,-2.9329853012553303e-05,-5.8227368947676084e-05,0.5358133361679394,-0.3798366816081079,-0.7540743757014448,-9502185.92406943,1080731.3702886307,141189.1253398316,-8280265.4284409685,1529.2688802888206,1529.2688817111793,1529.2688814555952,1529.2688805444047,1529.2688805556515,1529.2688814443484
1.9999999999999998e-05,0.0007971766310138421,-0.0006981784396620518,0.0008983808113669209,-0.13650656739457412,0.08645743866999085,-0.09746512724494948,7.642101328954451e-23,-7.394909756152378e-23,-2.7228121896758837e-22,56598537.53599404,4.142475749430942e-05,-2.9400921867710217e-05,-5.831734964231914e-05,0.5356249540315785,-0.380155935156449,-0.7540473284774605,-9509245.537389955,1082440.28559786,141138.44389482884,-8285666.807897266,1529.2688803036676,1529.2688816963325,1529.2688814410274,1529.2688805589728,1529.2688805028215,1529.2688814971787
2.4999999999999998e-05,0.0007965073366545651,-0.0006977589627343155,0.0008978460730552866,-0.13385887185539944,0.08389538554727433,-0.10694766232683577,6.95239326422868e-23,-6.634360725946558e-23,-2.4906541420445344e-22,56640577.67851867,4.1479951225081525e-05,-2.9475272637030727e-05,-5.8401622092274665e-05,0.5354981774061403,-0.3805200900558197,-0.7539536876086043,-9516420.387452878,1084139.1169221953,140991.08955023458,-8291290.180980447,1529.2688803171736,1529.2688816828265,1529.2688814279581,1529.268880572042,1529.26888045445,1529.2688815455497
2.9999999999999997e-05,0.0007958500859857863,-0.0006973509785665827,0.0008972679437620197,-0.13145013375576936,0.08159683354655549,-0.11562585865340078,6.325349101991337e-23,-5.952204855045472e-23,-2.277004227644143e-22,56683335.85200269,4.1539123771452976e-05,-2.9552627737605465e-05,-5.848067816455022e-05,0.5354275376345436,-0.380924999459201,-0.7537993743229142,-9523702.022716757,1085828.9140248578,140755.59994256648,-8297117.508749333,1529.268880329461,1529.2688816705393,1529.268881416233,1529.268880583767,1529.2688804101817,1529.2688815898182
3.5e-05,0.0007952037927735238,-0.0006969533054543859,0.0008966501245629167,-0.12925864245250548,0.07953462243935026,-0.1235638398206094,5.75536614833891e-23,-5.34041118917481e-23,-2.0803709349037515e-22,56726750.38713821,4.160194062934765e-05,-2.9632731490775924e-05,-5.855496717797263e-05,0.5354080036017407,-0.3813668633897946,-0.7535897990202814,-9531082.46366338,1087510.6166825786,140439.90013595772,-8303131.946844845,1529.2688803406397,1529.2688816593602,1529.2688814057133,1529.2688805942867,1529.2688803696894,1529.2688816303105
3.9999999999999996e-05,0.0007945674696314169,-0.000696564883582309,0.0008959960217533775,-0.12726462842137268,0.0776843744153724,-0.1308205619078456,5.2373345812647334e-23,-4.7917695612881495e-23,-1.8993880536238982e-22,56770764.961906485,4.166809229438443e-05,-2.9715348326840806e-05,-5.8624899475067636e-05,0.5354349496335244,-0.3818422000776096,-0.7533299071129698,-9538554.18240619,1089185.0617315606,140051.33327132367,-8309317.787403306,1529.2688803508115,1529.2688816491884,1529.268881396275,1529.268880603725,1529.268880332672,1529.2688816673276
4.4999999999999996e-05,0.0007939402191689377,-0.000696184762533753,0.0008953087705153815,-0.12545009249583594,0.07602420971118215,-0.13745024759919408,4.7665958255372486e-23,-4.2998072329297315e-23,-1.7328031812277406e-22,56815328.035475776,4.173729236044677e-05,-2.9800261203921562e-05,-5.869084983537041e-05,0.5355041233688712,-0.38234782013057683,-0.7530242215867514,-9546110.08433716,1090852.9909990882,139596.69300941488,-8315660.400328658,1529.2688803600677,1529.2688816399325,1529.2688813878065,1529.2688806121937,1529.268880298854,1529.2688817011463
