time_s,x_m,y_m,z_m,vx_m_per_s,vy_m_per_s,vz_m_per_s,fx_n,fy_n,fz_n,scattering_rate_per_s,beff_x_t,beff_y_t,beff_z_t,quantization_x,quantization_y,quantization_z,reference_scalar_shift_hz,reference_vector_shift_hz,reference_tensor_shift_hz,reference_total_shift_hz,trap_component_00_atom_frame_wavelength_nm,trap_component_01_atom_frame_wavelength_nm,trap_component_02_atom_frame_wavelength_nm,trap_component_03_atom_frame_wavelength_nm,trap_component_04_atom_frame_wavelength_nm,trap_component_05_atom_frame_wavelength_nm
0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,-6.136053043748909e-22,0.0,70794573.15175891,0.0,0.00020406079296160165,0.0,0.0,1.0,0.0,-12762153.287804602,2856040.386929212,2037981.602230903,-7868131.298644486,1529.268881,1529.268881,1529.268881,1529.268881,1529.268881,1529.268881
4.9999999999999996e-06,0.0,0.000999893704626694,-2.4516625e-10,0.0,-0.021259074661204302,-4.903325e-05,0.0,-6.054180255727649e-22,7.56943132110876e-26,70801677.7282955,0.0,0.00020402842935578382,3.30328527457326e-11,0.0,0.9999999999999869,1.6190318599242676e-07,-12762711.067281488,2855587.425025393,2037609.6279248379,-7869514.014331257,1529.268881,1529.268881,1529.2688808915557,1529.2688811084442,1529.2688809997496,1529.26888100025
9.999999999999999e-06,0.0,0.000999682532169413,-7.223861591821741e-10,0.0,-0.04223449145621103,-9.544398183643481e-05,0.0,-5.970516177005187e-22,1.4717847522568707e-25,70809693.26819088,0.0,0.00020397393166506636,8.295023329377035e-11,0.0,0.9999999999999173,4.066707574670434e-07,-12763865.511803944,2854824.673869799,2036886.7267359234,-7872154.1111982195,1529.268881,1529.268881,1529.268880784558,1529.268881215442,1529.2688809995132,1529.2688810004868
1.4999999999999999e-05,0.0,0.0009993679319481702,-1.4192764648324702e-09,0.0,-0.06292004424852085,-0.00013937806113005927,0.0,-5.885216474317343e-22,2.14640611953033e-25,70818601.95952801,0.0,0.00020389761232468843,1.4894297053607585e-10,0.0,0.9999999999997332,7.304792284612827e-07,-12765608.374138806,2853756.506314668,2035817.8163722293,-7876034.051451909,1529.268881,1529.268881,1529.2688806790388,1529.2688813209609,1529.268880999289,1529.2688810007112
1.9999999999999998e-05,0.0,0.0009989513816170339,-2.324150643127956e-09,0.0,-0.08331006622727832,-0.00018097483565909716,0.0,-5.798433738067653e-22,2.7826394168245787e-25,70828385.08126587,0.0,0.000203799790258196,2.3019698132081125e-10,0.0,0.9999999999993621,1.1295251139808609e-06,-12767931.224169873,2852387.386022795,2034407.9341154143,-7881135.904031662,1529.268881,1529.268881,1529.2688805750279,1529.2688814249723,1529.2688809990768,1529.268881000923
2.4999999999999998e-05,0.0,0.000998434384520789,-3.425987170075368e-09,0.0,-0.10339941924895836,-0.00022036730538948243,0.0,-5.710317195044275e-22,3.3822574377868703e-25,70839023.06516694,0.0,0.00020368079025460253,3.2603894623344494e-10,0.0,0.9999999999987188,1.6007348843525013e-06,-12770825.466652488,2850721.858750255,2032662.2283006348,-7887441.379601599,1529.268881,1529.268881,1529.2688804725499,1529.26888152745,1529.268880998876,1529.2688810011243
2.9999999999999997e-05,0.0,0.0009978184671098705,-4.714398811254669e-09,0.0,-0.12318348218372666,-0.0002576823282358602,0.0,-5.621012474476364e-22,3.946978321289784e-25,70850495.54546945,0.0,0.00020354094257173013,4.358074160742969e-10,0.0,0.9999999999977078,2.1411290061198104e-06,-12774282.355102673,2848764.546794744,2030585.9467582605,-7894931.86154967,1529.268881,1529.268881,1529.2688803716298,1529.2688816283703,1529.2688809986855,1529.2688810013144
3.5e-05,0.0,0.000997105176417614,-6.179602858351953e-09,0.0,-0.14265813845127498,-0.00029304080941945686,0.0,-5.530661383663656e-22,4.478460419558102e-25,70862781.4207365,0.0,0.00020338058212842703,5.589205449138096e-10,0.0,0.9999999999962237,2.748150974210321e-06,-12778293.005524952,2846520.137689831,2028184.4292026204,-7903588.4386325,1529.268881,1529.268881,1529.268880272288,1529.2688817277124,1529.2688809985052,1529.2688810014947
3.9999999999999996e-05,0.0,0.0009962960776037175,-7.812392401381582e-09,0.0,-0.16181976277929902,-0.00032655790860592585,0.0,-5.439401713875861e-22,4.978302164945208e-25,70875858.90645379,0.0,0.00020320004810145837,6.948590196137257e-10,0.0,0.9999999999941531,3.419580979935191e-06,-12782848.412968753,2843993.3785630316,2025463.0972200031,-7913391.937185719,1529.268881,1529.268881,1529.2688801745426,1529.2688818254576,1529.268880998334,1529.2688810016657
4.4999999999999996e-05,0.0,0.0009953927515672701,-9.604108638905394e-09,0.0,-0.18066520728949179,-0.0003583432475047623,0.0,-5.347367089722318e-22,5.4480440190533535e-25,70889705.58460338,0.0,0.0002029996833769578,8.431163763714225e-10,0.0,0.9999999999913752,4.1532891201536315e-06,-12787939.461525925,2841189.0684582978,2022427.445442726,-7924322.947624901,1529.268881,1529.268881,1529.2688800784103,1529.2688819215898,1529.268880998172,1529.2688810018278
