disc_index,point_index,theta_rad,phi_rad,theta_prime_rad,s_m,radial_distance_m,x0_m,y0_m,z0_m,vx_hat,vy_hat,vz_hat,disc_center_x_m,disc_center_y_m,disc_center_z_m,basis_u_x,basis_u_y,basis_u_z,basis_v_x,basis_v_y,basis_v_z
0,0,1.2640118664263358,1.7185296190971173,3.5918242323018137,0.01147290849131457,0.015,0.008334155316364859,0.014173011780113707,0.009289522134832522,0.14032382823637252,-0.9429254292050482,-0.30199479827898484,-0.0021048574235455874,0.014143881438075722,0.004529921974184772,-0.9891072700772875,-0.14719649547545527,0.0,-0.04445257595848362,0.2987052505032678,-0.9533095729155537
0,1,1.2640118664263358,1.7185296190971173,6.151647754933317,0.0108798123809005,0.015,-0.012709763430218925,0.012129999043230522,0.005890276241628402,0.14032382823637252,-0.9429254292050482,-0.30199479827898484,-0.0021048574235455874,0.014143881438075722,0.004529921974184772,-0.9891072700772875,-0.14719649547545527,0.0,-0.04445257595848362,0.2987052505032678,-0.9533095729155537
0,2,1.2640118664263358,1.7185296190971173,1.3430799887025782,0.011281887745171809,0.015,-0.005112601304809898,0.017051944920611194,-0.0059475602911745265,0.14032382823637252,-0.9429254292050482,-0.30199479827898484,-0.0021048574235455874,0.014143881438075722,0.004529921974184772,-0.9891072700772875,-0.14719649547545527,0.0,-0.04445257595848362,0.2987052505032678,-0.9533095729155537
0,3,1.2640118664263358,1.7185296190971173,3.7758228357392247,0.011100745292579716,0.015,0.007032103944250004,0.013495274353082749,0.010800631014113077,0.14032382823637252,-0.9429254292050482,-0.30199479827898484,-0.0021048574235455874,0.014143881438075722,0.004529921974184772,-0.9891072700772875,-0.14719649547545527,0.0,-0.04445257595848362,0.2987052505032678,-0.9533095729155537
0,4,1.2640118664263358,1.7185296190971173,3.0176522175698484,0.01201850412562625,0.015,0.009625498978347448,0.016343199559527403,0.0031135251714079137,0.14032382823637252,-0.9429254292050482,-0.30199479827898484,-0.0021048574235455874,0.014143881438075722,0.004529921974184772,-0.9891072700772875,-0.14719649547545527,0.0,-0.04445257595848362,0.2987052505032678,-0.9533095729155537
0,5,1.2640118664263358,1.7185296190971173,3.8076467279238106,0.010099171463740978,0.015,0.006026672915015345,0.013448746590647844,0.010478725732167939,0.14032382823637252,-0.9429254292050482,-0.30199479827898484,-0.0021048574235455874,0.014143881438075722,0.004529921974184772,-0.9891072700772875,-0.14719649547545527,0.0,-0.04445257595848362,0.2987052505032678,-0.9533095729155537
0,6,1.2640118664263358,1.7185296190971173,3.046916351142538,0.01128169237818134,0.015,0.008956563039813811,0.016115643300130437,0.0035132040152426503,0.14032382823637252,-0.9429254292050482,-0.30199479827898484,-0.0021048574235455874,0.014143881438075722,0.004529921974184772,-0.9891072700772875,-0.14719649547545527,0.0,-0.04445257595848362,0.2987052505032678,-0.9533095729155537
0,7,1.2640118664263358,1.7185296190971173,0.9717132148367676,0.007573539838599695,0.015,-0.006606982532627712,0.015383553678459732,-0.0014326771172727655,0.14032382823637252,-0.9429254292050482,-0.30199479827898484,-0.0021048574235455874,0.014143881438075722,0.004529921974184772,-0.9891072700772875,-0.14719649547545527,0.0,-0.04445257595848362,0.2987052505032678,-0.9533095729155537
0,8,1.2640118664263358,1.7185296190971173,2.624831781054086,0.0062248162308565875,0.015,0.0031114834848174873,0.015859169721374196,0.001598043610259611,0.14032382823637252,-0.9429254292050482,-0.30199479827898484,-0.0021048574235455874,0.014143881438075722,0.004529921974184772,-0.9891072700772875,-0.14719649547545527,0.0,-0.04445257595848362,0.2987052505032678,-0.9533095729155537
0,9,1.2640118664263358,1.7185296190971173,1.088286175875956,0.012487598554718593,0.015,-0.008327771135433402,0.016595236656238917,-0.006015518755940858,0.14032382823637252,-0.9429254292050482,-0.30199479827898484,-0.0021048574235455874,0.014143881438075722,0.004529921974184772,-0.9891072700772875,-0.14719649547545527,0.0,-0.04445257595848362,0.2987052505032678,-0.9533095729155537
