replicate_index,disc_index,theta_rad,phi_rad,point_count,capture_velocity_mean_m_per_s,capture_velocity_sample_std_m_per_s,loading_rate_atoms_per_s
1,0,1.457732450100625,1.2321308014259056,25,11.78125,4.196144102091923,3702757.4338984876
2,1,1.3384844104219924,0.8609172676841867,25,10.63203125,4.478377209074489,3358613.879562233
3,2,1.5673420794615047,0.24216107092987377,25,13.708984375,8.84063015062639,16719982.57577577
4,3,0.40060196789834845,1.0446245108769725,25,10.10859375,5.894723237292047,5185468.4786122115
5,4,1.146840186104423,0.13255032373604866,25,14.090625,8.460552757488106,16509502.76394984
6,5,0.9404099994359895,0.6007277038522987,25,14.990625,9.85651247734947,24299406.667756207
7,6,0.9259539759492723,0.5056439283308706,25,11.915625,7.47776108252274,11076184.38690628
8,7,0.24976483536291105,0.9156687054618924,25,13.99375,8.26638307802804,14736115.018299432
9,8,0.8986655624347945,1.290641528889039,25,10.4015625,6.392502537680729,6042857.737121533
10,9,1.3592910432132472,1.0202241064044864,25,12.86171875,7.12208292179028,12280126.91492173
