disc_index,point_index,theta_rad,phi_rad,theta_prime_rad,s_m,radial_distance_m,capture_velocity_m_per_s,velocity_resolution_m_per_s,trapped_velocity_lower_m_per_s,untrapped_velocity_upper_m_per_s,lower_classification,upper_classification,lower_entered_trap_core,upper_entered_trap_core,lower_core_entry_count,upper_core_entry_count,x0_m,y0_m,z0_m,vx_hat,vy_hat,vz_hat
0,0,2.081126167973928,2.094754810115193,1.2615928672388128,0.013343560558699065,0.015,0.75,0.25,0.75,1.0,two_core_entries,escaped,True,False,2,0,-0.006957855840346926,0.00392552069211128,-0.018418174116465118,0.43656351510033914,-0.7555224388958419,0.4884650873994115
0,1,2.081126167973928,2.094754810115193,4.2634293894757,0.008948127267715981,0.015,1.0,0.25,1.0,1.25,bounded_core_residence,escaped,True,False,1,0,-0.005155805323893795,0.01668535107989448,-0.00029276680483757925,0.43656351510033914,-0.7555224388958419,0.4884650873994115
0,2,2.081126167973928,2.094754810115193,4.470433678614027,0.0075955714617847074,0.015,1.0,0.25,1.0,1.25,two_core_entries,escaped,True,False,2,0,-0.00677486361136871,0.015362219661285143,-0.0008922645105878587,0.43656351510033914,-0.7555224388958419,0.4884650873994115
0,3,2.081126167973928,2.094754810115193,4.75805486689437,0.009608719430362568,0.015,0.75,0.25,0.75,1.0,two_core_entries,escaped,True,False,2,0,-0.00927402154339085,0.015173010837410955,0.0010486923438069347,0.43656351510033914,-0.7555224388958419,0.4884650873994115
0,4,2.081126167973928,2.094754810115193,2.763288973193147,0.010626535937500289,0.015,0.0,1.5,0.0,1.5,escaped,escaped,False,False,0,0,0.00296108439812838,0.014613533349985212,-0.010751738847601153,0.43656351510033914,-0.7555224388958419,0.4884650873994115
0,5,2.081126167973928,2.094754810115193,0.805721399882678,0.014639031398470734,0.015,0.0,0.25,0.0,0.25,escaped,escaped,False,False,0,0,-0.012746541231683037,0.001794228647262832,-0.01654109036538274,0.43656351510033914,-0.7555224388958419,0.4884650873994115
0,6,2.081126167973928,2.094754810115193,3.6362119485740494,0.004098144100053861,0.015,1.25,0.25,1.25,1.5,two_core_entries,escaped,True,True,2,1,-0.003900785718488636,0.013960217618141275,-0.005629474211449884,0.43656351510033914,-0.7555224388958419,0.4884650873994115
0,7,2.081126167973928,2.094754810115193,4.296667495562236,0.010791975634339864,0.015,0.75,0.25,0.75,1.0,bounded_core_residence,escaped,True,False,1,0,-0.0051875577330756616,0.017688907549306895,0.0012878402735843706,0.43656351510033914,-0.7555224388958419,0.4884650873994115
0,8,2.081126167973928,2.094754810115193,2.4319023188484157,0.01474337856313018,0.015,0.0,0.25,0.0,0.25,escaped,escaped,False,False,0,0,0.0054827302297646985,0.012865174178093786,-0.01570968408500629,0.43656351510033914,-0.7555224388958419,0.4884650873994115
0,9,2.081126167973928,2.094754810115193,0.6440564577780407,0.009420444208725436,0.015,0.0,1.0,0.0,1.0,escaped,escaped,False,False,0,0,-0.01168870315399777,0.005171569742764618,-0.012262701744034741,0.43656351510033914,-0.7555224388958419,0.4884650873994115
