replicate_index,disc_index,theta_rad,phi_rad,point_count,capture_velocity_mean_m_per_s,capture_velocity_sample_std_m_per_s,loading_rate_atoms_per_s
1,0,1.457732450100625,1.2321308014259056,25,21.68125,5.464336016293135,31851049.972603384
2,1,1.3384844104219924,0.8609172676841867,25,19.78125,5.023544824540403,21800541.34882238
3,2,1.5673420794615047,0.24216107092987377,25,22.78125,6.085397587839544,39094168.73966036
4,3,0.40060196789834845,1.0446245108769725,25,19.10625,7.4305760400158976,28413587.42438146
5,4,1.146840186104423,0.13255032373604866,25,22.89375,6.766292547898738,42400789.05734153
6,5,0.9404099994359895,0.6007277038522987,25,25.203125,8.558759257394827,67591686.21049954
7,6,0.9259539759492723,0.5056439283308706,25,22.24375,7.0606849160952505,40356674.49815161
8,7,0.24976483536291105,0.9156687054618924,25,24.5375,7.266392208597514,55534153.309021935
9,8,0.8986655624347945,1.290641528889039,25,19.65625,6.5945089906773955,27299851.888502896
10,9,1.3592910432132472,1.0202241064044864,25,22.76875,6.3008220156513435,40782566.09921249
