disc_index,point_count,loading_integral_m6_per_s4,loading_rate_atoms_per_s
0,25,0.5875277911387089,535801.8444068569
1,25,1.2899569398986555,1176389.1309099777
2,25,0.6483133951941933,591235.8838812965
3,25,1.1505428155736852,1049249.026090578
4,25,8.652418393804346,7890659.478413812
5,25,0.6628701663894389,604511.0769405126
6,25,2.888165019391124,2633890.9710839298
7,25,0.986747920243577,899874.6333453326
8,25,0.4471362626295484,407770.386067643
9,25,0.7337081775455492,669112.5095944391
10,25,1.1090617359411994,1011419.9407089362
11,25,0.9965865857983771,908847.102784688
12,25,1.9198633770820734,1750838.6053637676
13,25,1.6835309556148526,1535312.890282521
14,25,0.6850838765634928,624769.0920708429
15,25,1.3409634467188842,1222905.0248697537
16,25,3.3662735990951953,3069906.8714308543
17,25,5.09812686821984,4649287.778741765
18,25,0.5543019658508984,505501.22077738534
19,25,0.5808706879070982,529730.8325437573
20,25,5.208668070505427,4750096.933578129
21,25,1.8692247066722638,1704658.1634968377
22,25,0.7911799642930338,721524.4802366751
23,25,2.763510668105871,2520211.1888858303
24,25,1.3470953882409042,1228497.110260175
