time_s,x_m,vx_m_per_s,Fx_n,effective_field_proxy_x_t,quantization_axis_x,y_m,vy_m_per_s,Fy_n,effective_field_proxy_y_t,quantization_axis_y,z_m,vz_m_per_s,Fz_n,effective_field_proxy_z_t,quantization_axis_z,radius_m,speed_m_per_s,total_780_scattering_rate_per_s,reference_vector_shift_hz,applied_reference_transition_shift_hz,total_trapping_intensity_w_per_m2
0.0,0.015,-25.0,5.91146169880614e-21,0.0018972278237346962,1.0,0.0,-0.0,0.0,0.0,0.0,9.184850993605148e-19,-1.5308084989341915e-15,1.1479437019748901e-41,1.0079900713018464e-58,5.312962727468419e-56,0.015,25.0,7299204.033400126,26553652.0227662,26553652.039036132,21353.19843464948
1.25e-06,0.014968814002973856,-24.94879762091537,5.6985319609822586e-21,0.001921980627423429,1.0,0.0,0.0,0.0,0.0,0.0,-1.5322889708428414e-11,-1.2258312501530809e-05,1.3481451715779854e-31,-2.956575733085398e-51,-1.5382963235425154e-48,0.014968814002973856,24.948797620918384,7049661.442465912,26900092.93382379,26900092.950305995,21613.789830735885
2.5e-06,0.014937689703546494,-24.899439541888825,5.4853820290329016e-21,0.0019471552860321928,1.0,0.0,0.0,0.0,0.0,0.0,-4.596866950071477e-11,-2.4516623833829084e-05,2.8900138127494735e-31,-1.3155025757857934e-50,-6.756022928538242e-48,0.014937689703546494,24.899439541900897,6799828.5334201865,27252438.13777149,27252438.154469583,21878.772912503973
3.7500000000000005e-06,0.014906624793958817,-24.851927670141222,5.2727469611559454e-21,0.0019727628455084648,1.0,0.0,0.0,0.0,0.0,0.0,-9.19373367890038e-11,-3.677493383063122e-05,4.60619626041547e-31,-3.8836111981457375e-50,-1.9686153391360968e-47,0.014906624793958817,24.851927670168433,6550585.017649955,27610842.233989455,27610842.250907145,22148.262989687006
5e-06,0.014875616972026124,-24.80625754615531,5.061312052268346e-21,0.0019988147437815687,1.0,0.0,0.0,0.0,0.0,0.0,-1.5322888971519703e-10,-4.903324234095457e-05,6.4605700126165744e-31,-9.527366418679749e-50,-4.766507975949222e-47,0.014875616972026124,24.80625754620377,6302753.655061189,27975465.308046397,27975465.3251875,22422.37939468757
6.25e-06,0.014844663948557746,-24.762418774702528,4.851710664034603e-21,0.002025322820423278,1.0,0.0,0.0,0.0,0.0,0.0,-2.2984332627157722e-10,-6.129154924510414e-05,8.401130134716055e-31,-2.099087103881057e-49,-1.0364210005012253e-46,0.014844663948557747,24.762418774778382,6057097.768501694,28346473.06690962,28346473.08427805,22701.245582204472
7.5e-06,0.014813763454214415,-24.72039547466508,4.644522912120514e-21,0.0020522993266435304,1.0,0.0,0.0,0.0,0.0,0.0,-3.217806443571138e-10,-7.354985446842925e-05,1.0364002750435381e-30,-4.3085179704615514e-49,-2.0993613916484563e-46,0.014813763454214418,24.72039547477449,5814319.781737099,28724036.978845347,28724036.996445116,22984.989234450673
8.750000000000001e-06,0.014782913245789129,-24.68016674022844,4.440274767117707e-21,0.002079756988202756,1.0,0.0,0.0,0.0,0.0,0.0,-4.290408418466186e-10,-8.58081579916038e-05,1.228161162645795e-30,-8.408412561903923e-49,-4.042978391033147e-46,0.014782913245789136,24.68016674037761,5575060.263603345,29108335.15394133,29108335.171776563,23273.742372605127
1e-05,0.014752111111901802,-24.64170710986125,4.2394391653614434e-21,0.0021077088719748333,1.0,0.0,0.0,0.0,0.0,0.0,-5.516239166639102e-10,-9.80664598538332e-05,1.409517459562298e-30,-1.5799033228172026e-48,-7.495832768103788e-46,0.014752111111901813,24.641707110056387,5339899.361927158,29499550.47651839,29499550.49459333,23567.641475160293
1.125e-05,0.01472135487811971,-24.604987025673797,4.042435858592007e-21,0.0021361685176667505,1.0,0.0,0.0,0.0,0.0,0.0,-6.895298668454568e-10,-0.00011032476014523727,1.5770290440117333e-30,-2.881855090267429e-48,-1.3490766605881645e-45,0.014721354878119727,24.604987025921137,5109356.781146143,29897872.448682368,29897872.46700137,23866.827603674996
1.25e-05,0.01469064241150211,-24.569973294078657,3.8496327088194875e-21,0.0021651499364522576,1.0,0.0,0.0,0.0,0.0,0.0,-8.427586905776225e-10,-0.00012258305898573256,1.7312709840679624e-30,-5.132615849231998e-48,-2.370559083608838e-45,0.014690642411502135,24.56997329438445,4883893.493889764,30303497.17120069,30303497.18976822,24171.446536613108
1.375e-05,0.014659971624583065,-24.536629535235836,3.66134736406229e-21,0.002194667611615975,1.0,0.0,0.0,0.0,0.0,0.0,-1.011310386190441e-09,-0.00013484135649025468,1.878018546589982e-30,-8.962721300237754e-48,-4.0838627465952964e-45,0.0146599716245831,24.536629535606348,4663913.93556719,30716627.352517277,30716627.371337943,24481.64891184658
1.5e-05,0.014629340478810586,-24.504916617983394,3.477849173018848e-21,0.0022247365125361734,1.0,0.0,0.0,0.0,0.0,0.0,-1.1951849520950865e-09,-0.00014709965272371648,2.0286409144564747e-30,-1.5393371398644531e-47,-6.919188547454669e-45,0.014629340478810635,24.504916618424904,4449768.516391632,31137472.504455995,31137472.52353452,24797.590378397108
1.6250000000000002e-05,0.014598746987462856,-24.47479307818409,3.2993613470802106e-21,0.0022553721107021448,1.0,0.0,0.0,0.0,0.0,0.0,-1.3943823866607819e-09,-0.0001593579476525562,2.199485333169937e-30,-2.6065307806101587e-47,-1.1556987728285293e-44,0.014598746987462923,24.474793078702884,4241756.461549944,31566249.16640013,31566249.185741376,25119.431757997623
1.7500000000000002e-05,0.014568189218064924,-24.446215518345632,3.1260633180721918e-21,0.0022865903955122625,1.0,0.0,0.0,0.0,0.0,0.0,-1.6089026880378065e-09,-0.00017161624110161966,2.4103325603261315e-30,-4.35959970811109e-47,-1.9065940785316793e-44,0.014568189218065013,24.44621551894802,4040128.919985431,32003181.12640252,32003181.146011483,25447.33921705846
1.8750000000000002e-05,0.0145376652943314,-24.419138986819288,2.9580932207740503e-21,0.0023184078919689,1.0,0.0,0.0,0.0,0.0,0.0,-1.8387458539433325e-09,-0.00018387453272442078,2.682292452095381e-30,-7.213417851222225e-47,-3.111367018810592e-44,0.014537665294331516,24.41913898751157,3845092.261058404,32448499.6688441,32448499.688725922,25781.484449630414
2e-05,0.01450717339766203,-24.393517335496007,2.7955504538398065e-21,0.0023508416792658196,1.0,0.0,0.0,0.0,0.0,0.0,-2.0839118814328698e-09,-0.00019613282199162964,3.0356506235184695e-30,-1.1821705723059478e-46,-5.028711983169985e-44,0.01450717339766218,24.393517336284496,3656811.5091135222,32902443.834583495,32902443.854743455,26122.044871969665
2.125e-05,0.014476711768217878,-24.36930355532102,2.6384982724135575e-21,0.002383909410267389,1.0,0.0,0.0,0.0,0.0,0.0,-2.3444007666806344e-09,-0.00020839110819821156,3.4881165116324614e-30,-1.920900414505054e-46,-8.057774369411117e-44,0.014476711768218069,24.36930355621204,3475413.867110665,33365260.69358867,33365260.714032203,26469.203829328206
2.25e-05,0.014446278705606188,-24.34645008935244,2.48696636788609e-21,0.0024176293327642833,1.0,0.0,0.0,0.0,0.0,0.0,-2.6202125047878103e-09,-0.00022064939048574076,4.053708954960771e-30,-3.097301303846489e-46,-1.2811315869935603e-43,0.014446278705606426,24.346450090352302,3300992.2835366544,33837205.6424323,33837205.66316501,26823.15081561581
2.375e-05,0.014415872569201843,-24.324909123475095,2.3409534056471516e-21,0.0024520203113284704,1.0,0.0,0.0,0.0,0.0,0.0,-2.911347089630769e-09,-0.00023290766787436676,4.742258633807724e-30,-4.959376136345796e-46,-2.022567314566361e-43,0.014415872569202138,24.324909124590125,3133609.0338823968,34318542.71017475,34318542.73120238,27184.081706610657
2.5e-05,0.014385491778132926,-24.30463285513361,2.200429484509624e-21,0.0024871018513883143,1.0,0.0,0.0,0.0,0.0,0.0,-3.2178045137546313e-09,-0.00024516593929909016,5.559308017289293e-30,-7.890433723450902e-46,-3.1725414538397037e-43,0.014385491778133285,24.304632856370134,2973299.277453985,34809544.89531984,34809544.91664831,27552.199007429273
2.625e-05,0.014355134810956972,-24.285573740763027,2.0653385036997333e-21,0.002522894123125211,1.0,0.0,0.0,0.0,0.0,0.0,-3.539584768313263e-09,-0.0002574242036469053,6.506092931375625e-30,-1.2480522629071892e-45,-4.9469070123369916e-43,0.01435513481095741,24.28557374212736,2820074.572607191,35310494.50027291,35310494.52190832,27927.712115009905
2.75e-05,0.014324800205053575,-24.26768472271765,1.935600398904188e-21,0.002559417990423845,1.0,0.0,0.0,0.0,0.0,0.0,-3.876687843055891e-09,-0.0002696824597941023,7.579283928042047e-30,-1.9634521393738933e-45,-7.671479010932254e-43,0.014324800205054099,24.267684724216117,2673926.301136059,35821683.53652923,35821683.55847786,28310.837596409885
2.875e-05,0.014294486555757534,-24.250919436832255,1.811113261588168e-21,0.0025966950375914933,1.0,0.0,0.0,0.0,0.0,0.0,-4.229113726363153e-09,-0.00028194070664580947,8.770211739934536e-30,-3.073522626855863e-45,-1.1836286442425835e-42,0.01429448655575816,24.250919438471172,2534829.0073551987,36343414.098638244,36343414.120906554,28701.79948377501
3e-05,0.0142641925152555,-24.23523240162677,1.6917553121875256e-21,0.0026347475991127488,1.0,0.0,0.0,0.0,0.0,0.0,-4.596862405340958e-09,-0.00029419894318224424,1.0063365565751582e-29,-4.7888636399482716e-45,-1.817579657937983e-42,0.01426419251525624,24.235232403412454,2402743.6002119035,36875998.780651435,36875998.803246066,29100.829586898286
3.125e-05,0.014233916791267474,-24.22057919042005,1.5773867291696079e-21,0.0026735987912797506,1.0,0.0,0.0,0.0,0.0,0.0,-4.979933865988422e-09,-0.0003064571685179717,1.1434022680996906e-29,-7.429206471878402e-45,-2.7787289910923104e-42,0.014233916791268345,24.220579192358816,2277620.3937245235,37419761.11881987,37419761.14174768,29508.16782435547
3.2500000000000004e-05,0.014203658145532974,-24.206916587601135,1.46785133434211e-21,0.0027132725465209145,1.0,0.0,0.0,0.0,0.0,0.0,-5.378328093465539e-09,-0.0003187153819816938,1.2844956443831082e-29,-1.1478497335079309e-44,-4.2304991991304285e-42,0.014203658145533992,24.206916589699286,2159401.9475734234,37975036.072060056,37975036.095328085,29924.06257428089
3.375000000000001e-05,0.014173415392120095,-24.194202730303193,1.3629781489326613e-21,0.0027537936482180682,1.0,0.0,0.0,0.0,0.0,0.0,-5.79204507249623e-09,-0.00033097358322455256,1.424231400566008e-29,-1.7667150966237115e-44,-6.415568202675325e-42,0.014173415392121278,24.19420273256703,2048025.6707702936,38542170.50925551,38542170.53287104,30348.771045930127
3.500000000000001e-05,0.014143187395574346,-24.182397236599357,1.2625828266535324e-21,0.002795187768772533,1.0,0.0,0.0,0.0,0.0,0.0,-6.2210847879514035e-09,-0.0003432317723641389,1.5551010281934448e-29,-2.70945608308353e-44,-9.693288276920835e-42,0.014143187395575714,24.18239723903518,1943426.1246305367,39121523.74203068,39121523.76600119,30782.55967326561
3.6250000000000014e-05,0.014112973068922738,-24.17146132128604,1.1664689878256124e-21,0.002837481509938527,1.0,0.0,0.0,0.0,0.0,0.0,-6.665447225661899e-09,-0.00035548995016839623,1.6670411931686956e-29,-4.141114280482908e-44,-1.4594330451064767e-41,0.014112973068924312,24.171461323900136,1845536.9607241165,39713468.08925831,39713468.11359152,31225.704531897725
3.750000000000002e-05,0.014082771371547599,-24.16135790011067,1.0744294843942192e-21,0.0028807024442169447,1.0,0.0,0.0,0.0,0.0,0.0,-7.125132373508034e-09,-0.00036774811827690817,1.7471721786381405e-29,-6.308835769561496e-44,-2.1900338170041068e-41,0.014082771371549401,24.161357902909327,1754292.4130166126,40318389.45640797,40318389.481111825,31678.491780815977
3.875000000000002e-05,0.014052581306943797,-24.15205168304243,9.862476227956667e-22,0.002924879160768701,1.0,0.0,0.0,0.0,0.0,0.0,-7.600140222814085e-09,-0.0003800062794448405,1.7799270904518354e-29,-9.58182823539185e-44,-3.275974051821548e-41,0.014052581306945852,24.152051686031925,1669628.2381418173,40936687.97815037,40936688.00323306,32141.21813045057
4.0000000000000024e-05,0.014022401920372608,-24.143509256951116,9.016983962368078e-22,0.0029700413122243858,1.0,0.0,0.0,0.0,0.0,0.0,-8.0904707700337e-09,-0.0003922644377756921,1.7478644007034e-29,-1.4510365618480845e-43,-4.885577031793351e-41,0.014022401920374942,24.143509260137716,1591482.0020223302,41568778.67350664,41568778.69897663,32614.19133871574
4.125000000000003e-05,0.013992232296425593,-24.1356991576125,8.205497743789394e-22,0.0030162196654992617,1.0,0.0,0.0,0.0,0.0,0.0,-8.596124018638283e-09,-0.0004045225988836672,1.6334668280562606e-29,-2.1912778283597044e-43,-7.264980907804644e-41,0.013992232296428233,24.135699161002467,1519792.5887734892,42215092.157056354,42215092.182922356,33097.73073679656
4.250000000000003e-05,0.013962071556512414,-24.12859193054308,7.425641254873882e-22,0.00306344615516394,1.0,0.0,0.0,0.0,0.0,0.0,-9.11709998101358e-09,-0.0004167807699002372,1.422095481516624e-29,-3.3003426309275097e-43,-1.0773300602539535e-40,0.01396207155651539,24.128591934142673,1454498.8179156764,42876075.385915,42876075.412186,33592.167786550905
4.3750000000000033e-05,0.013931918856288018,-24.122160179516847,6.674998671570781e-22,0.003111753940172391,1.0,0.0,0.0,0.0,0.0,0.0,-9.653398680044614e-09,-0.00042903895922482703,1.1059101970776631e-29,-4.958061366884729e-43,-1.5933333618949489e-40,0.013931918856291362,24.12216018333231,1395537.0558297315,43552192.453700736,43552192.480386004,34097.8466715019
4.500000000000004e-05,0.013901773383037037,-24.116378600784124,5.951134781433165e-22,0.003161177464118175,1.0,0.0,0.0,0.0,0.0,0.0,-1.020502014996454e-08,-0.00044129717593594084,6.879920296738501e-30,-7.430208741060213e-43,-2.3504560643617342e-40,0.013901773383040782,24.116378604821694,1342837.7102759327,44243925.43388221,44243925.46099131,34615.12492348497
4.625000000000004e-05,0.013871634353037206,-24.11122399986496,5.251620474210406e-22,0.003211752518369413,1.0,0.0,0.0,0.0,0.0,0.0,-1.0771964436021061e-08,-0.0004535554288452161,1.8531003831296365e-30,-1.1108822310526379e-42,-3.4588039542244244e-40,0.013871634353041389,24.11122400413087,1296320.4808868698,44951775.263417326,44951775.29096013,35144.374087078104
4.750000000000004e-05,0.013841501008929377,-24.106675286263666,4.5740660109311885e-22,0.003263516311055318,1.0,0.0,0.0,0.0,0.0,0.0,-1.1354231592639196e-08,-0.00046581372529450765,-3.71031324957703e-30,-1.6571099134559487e-42,-5.077682338655424e-40,0.013841501008934033,24.10667529076413,1255888.1812292398,45676262.70829065,45676262.73627737,35685.98042396849
4.8750000000000047e-05,0.013811372617130169,-24.1027134393672,3.9161663764917786e-22,0.0033165075374839174,1.0,0.0,0.0,0.0,0.0,0.0,-1.1951821680053628e-08,-0.000478072069931545,-9.392381215117329e-30,-2.466530549366654e-42,-7.437132349284204e-40,0.01381137261713534,24.102713444108428,1221418.849312349,46417929.34908171,46417929.37752286,36240.345659368635
5.000000000000005e-05,0.013781248465336342,-24.099321435061263,3.275766365215008e-22,0.0033707664570697916,1.0,0.0,0.0,0.0,0.0,0.0,-1.25647347597837e-08,-0.0004903304637840578,-1.4735517228896505e-29,-3.6635877680312844e-42,-1.0868708392262934e-39,0.01378124846534207,24.099321440049454,1192755.722021068,47177338.65764772,47177338.68655418,36807.88777243908
5.125000000000005e-05,0.013751127860191377,-24.09648411597217,2.6509553189589213e-22,0.0034263349732502656,1.0,0.0,0.0,0.0,0.0,0.0,-1.3192970889679165e-08,-0.0005025889039163724,-1.9322990428355316e-29,-5.430532544129141e-42,-1.584939180356224e-39,0.013751127860197705,24.096484121213507,1169694.6241235863,47955077.11563277,47955077.14501577,37389.041832303046
5.2500000000000056e-05,0.013721010125216813,-24.094187979651014,2.0401967530432782e-22,0.003483256719045244,1.0,0.0,0.0,0.0,0.0,0.0,-1.3836530119408269e-08,-0.0005148473837832828,-2.2845969044291862e-29,-8.033832588059938e-42,-2.3064141509104732e-39,0.013721010125223788,24.094187985151674,1151968.5371617181,48751755.41196561,48751755.441836745,37984.26088055374
5.375000000000006e-05,0.013690894599148712,-24.092420854481656,1.442488927247929e-22,0.0035415771467914472,1.0,0.0,0.0,0.0,0.0,0.0,-1.4495412487114049e-08,-0.0005271058941646238,-2.5136611531867426e-29,-1.186245096547646e-41,-3.349482581855784e-39,0.013690894599156385,24.092420860247795,1139229.5662283965,49568009.698782414,49568009.729153685,38594.01686019141
5.500000000000006e-05,0.013660780634853075,-24.09117143650956,8.575464173607568e-23,0.003601343622446185,1.0,0.0,0.0,0.0,0.0,0.0,-1.5169618017597126e-08,-0.0005393644243864628,-2.616224664524068e-29,-1.7483265062827319e-41,-4.854650623689151e-39,0.013660780634861498,24.091171442547328,1131029.103108528,50404502.91130498,50404502.94218879,39218.80158983838
5.6250000000000066e-05,0.013630667599016823,-24.090428669001597,2.859890795063372e-23,0.003662605524779223,1.0,0.0,0.0,0.0,0.0,0.0,-1.585914672196198e-08,-0.0005516229634918844,-2.599069733057327e-29,-2.5721174948500957e-41,-7.02264406431031e-39,0.013630667599026048,24.09042867531713,1126797.7797215688,51261926.156132765,51261926.18754194,39859.12778099039
5.750000000000007e-05,0.013600554872818907,-24.090180958333594,-2.704824296659789e-23,0.003725414348019797,1.0,0.0,0.0,0.0,0.0,0.0,-1.6563998598351262e-08,-0.0005638815011114242,-2.474371808996947e-29,-3.7774724317158365e-41,-1.0139737701186743e-38,0.013600554872828992,24.090180964933012,1125827.8833404402,52141000.14789332,52141000.17984111,40515.530095082126
5.875000000000007e-05,0.013570441853771594,-24.090415237850323,-8.089554972132534e-23,0.0037898238094991378,1.0,0.0,0.0,0.0,0.0,0.0,-1.7284173633264013e-08,-0.0005761400279301999,-2.2553566278887787e-29,-5.538279404877748e-41,-1.4613553777872553e-38,0.013570441853782603,24.09041524473973,1127262.078974707,53042476.71580989,53042476.74831003,41188.56623649779
6.0000000000000076e-05,0.013540327958873938,-24.091115918124363,-1.3252571852573375e-22,0.003855889960081029,1.0,0.0,0.0,0.0,0.0,0.0,-1.8019671802987614e-08,-0.0005883985357788816,-1.9531130786627013e-29,-8.106458898449344e-41,-2.102357427824261e-38,0.013540327958885929,24.09111592530985,1130093.168651956,53967140.34929059,53967140.38235729,41878.81807769871
6.125000000000008e-05,0.013510212629129787,-24.09226379532025,-1.814027270764204e-22,0.0039236712970804775,1.0,0.0,0.0,0.0,0.0,0.0,-1.8770493074798376e-08,-0.0006006570174486087,-1.5747496823613545e-29,-1.184645921133207e-40,-3.019228246807212e-38,0.013510212629142827,24.0922638028079,1133179.7112604217,54915809.77834114,54915809.811989106,42586.89281375685
6.250000000000008e-05,0.01348009533535126,-24.093835022822343,-2.268940746550884e-22,0.003993228881576078,1.0,0.0,0.0,0.0,0.0,0.0,-1.9536637407731163e-08,-0.0006129154663462279,-1.1226773661924776e-29,-1.7284799127401925e-40,-4.3285270241208485e-38,0.013480095335365419,24.093835030618227,1135281.1295786083,55889339.61547187,55889339.64971634,43313.42414605387
6.375000000000009e-05,0.013449975585006782,-24.095800275582906,-2.683085322739083e-22,0.004064626458267474,1.0,0.0,0.0,0.0,0.0,0.0,-2.0318104752840426e-08,-0.0006251738760874096,-5.946594887972254e-30,-2.5181102379162945e-40,-6.195182420255232e-38,0.013449975585022129,24.095800283693084,1135113.1770727816,56888622.03322605,56888622.068082795,44059.07349877948
6.500000000000009e-05,0.013419852929704976,-24.098124241444665,-3.049468061942513e-22,0.004137930577905469,1.0,0.0,0.0,0.0,0.0,0.0,-2.1114895052958045e-08,-0.0006374322400940962,1.5703867384650218e-31,-3.6629838493490224e-40,-8.85221194600888e-38,0.013419852929721587,24.098124249875195,1131420.5936762437,57914588.47771496,57914588.51320035,44824.531276829126
6.625000000000009e-05,0.013389726972765865,-24.10076555128764,-3.361592883645689e-22,0.0042132107255625426,1.0,0.0,0.0,0.0,0.0,0.0,-2.192700824200042e-08,-0.000649690551233899,7.182979256629438e-30,-5.32058404047863e-40,-1.2628335934391774e-37,0.013389726972783818,24.10076556004458,1123059.3896119029,58968211.463895634,58968211.50002659,45610.51817907682
6.75000000000001e-05,0.013359597376254136,-24.103677209383832,-3.614028458799096e-22,0.004290539455235704,1.0,0.0,0.0,0.0,0.0,0.0,-2.275444424389819e-08,-0.0006619488015182159,1.5257669513294617e-29,-7.7172182845123e-40,-1.7986592047522262e-37,0.013359597376273515,24.10367721847324,1109077.892238569,60050506.45947588,60050506.49626997,46417.786585832786
6.87500000000001e-05,0.01332946386685959,-24.1068075156363,-3.8028841120050235e-22,0.004369992532036055,1.0,0.0,0.0,0.0,0.0,0.0,-2.359720297122726e-08,-0.000674206981863257,2.452811624569788e-29,-1.1177680068004202e-39,-2.557825896969286e-37,0.013329463866880479,24.10680752506424,1088784.866626988,61162533.87500342,61162533.91247888,47247.1220426588
7.00000000000001e-05,0.013299326240109563,-24.11010140002292,-3.926133488679454e-22,0.004451649085040133,1.0,0.0,0.0,0.0,0.0,0.0,-2.445528432361717e-08,-0.000686465081911926,3.5155295904349617e-29,-1.616751574714462e-39,-3.6318037289767338e-37,0.013299326240132048,24.11010140979547,1061795.3678111373,62305401.20317732,62305401.241353035,48099.34486404105
7.12500000000001e-05,0.01326918436256283,-24.113502037385842,-3.983766316910337e-22,0.0045355917738879046,1.0,0.0,0.0,0.0,0.0,0.0,-2.5328688186008198e-08,-0.0006987230899128225,4.730775088588192e-29,-2.33531805467318e-39,-5.148871792470309e-37,0.013269184362587004,24.11350204750909,1028050.0395488414,63480265.35055806,63480265.389453635,48975.31187978442
7.250000000000011e-05,0.013239038171820743,-24.116952593670156,-3.977793283466597e-22,0.004621906970116417,1.0,0.0,0.0,0.0,0.0,0.0,-2.6217414426826584e-08,-0.0007109809926547089,6.115463435443759e-29,-3.368754539943195e-39,-7.288667992939594e-37,0.013239038171846703,24.11695260415021,987809.7003507239,64688335.1755182,64688335.215153985,49875.91834515006
7.375000000000011e-05,0.01320888767435026,-24.12039797638593,-3.9121588711207723e-22,0.0047106849548932146,1.0,0.0,0.0,0.0,0.0,0.0,-2.712146289615311e-08,-0.0007232387754612202,7.685675627779898e-29,-4.8531316910950666e-39,-1.0302390708709751e-36,0.013208887674378104,24.120397987228916,941631.851713418,65930874.25572472,65930874.296121836,50802.10003391015
7.500000000000012e-05,0.013178732941213293,-24.123786509573904,-3.792615093233935e-22,0.004802020137543375,1.0,0.0,0.0,0.0,0.0,0.0,-2.804083342398202e-08,-0.0007354964222631287,9.455316081407352e-29,-6.982518848340375e-39,-1.454079459965052e-36,0.013178732941243125,24.12378652078597,890336.878121485,67209203.94664922,67209203.9878296,51754.835532719575
7.625000000000012e-05,0.013148574101839037,-24.127071499405865,-3.6265702428975126e-22,0.004896011294131356,1.0,0.0,0.0,0.0,0.0,0.0,-2.897552581871561e-08,-0.0007477539157868704,1.1433933244928351e-28,-1.0033367582781904e-38,-2.0492942070637138e-36,0.013148574101870963,24.12707151099318,834968.1808857702,68524706.72076604,68524706.76275244,52735.14875581451
7.750000000000012e-05,0.013118411336003064,-24.13021266877843,-3.422867833146161e-22,0.004992761828542088,1.0,0.0,0.0,0.0,0.0,0.0,-2.9925539866130405e-08,-0.0007600112379318376,1.3623122486228429e-28,-1.439900967076536e-38,-2.883976877977763e-36,0.013118411336037198,24.130212680747185,776743.9715259199,69878829.82165015,69878829.86446625,53744.11170004116
7.875000000000013e-05,0.01308824486425252,-24.133177400434977,-3.191412225326987e-22,0.005092380059875236,1.0,0.0,0.0,0.0,0.0,0.0,-3.0890875329204455e-08,-0.0007722683704592396,1.6010696119372591e-28,-2.063839251834598e-38,-4.052798941886443e-36,0.013088244864288974,24.13317741279138,716993.6276300411,71273089.28635518,71273089.33002558,54782.84745948208
8.000000000000013e-05,0.01305807493718274,-24.135941655823952,-2.942582384405786e-22,0.005194979536153446,1.0,0.0,0.0,0.0,0.0,0.0,-3.1871531949436863e-08,-0.0007845252961859271,1.8561559619263357e-28,-2.9544869621286474e-38,-5.687196535746623e-36,0.013058074937221635,24.13594166857423,657073.6427285215,72709074.33608244,72709074.3806327,55852.53351443843
8.125000000000013e-05,0.013027901824200017,-24.138490386178827,-2.686469861068231e-22,0.005300679374934234,1.0,0.0,0.0,0.0,0.0,0.0,-3.286750945064746e-08,-0.0007967820009684786,2.1204088243670135e-28,-4.224316938432297e-38,-7.969387770194474e-36,0.013027901824241477,24.138490399329225,598268.289417381,74188452.14339425,74188452.18885092,56954.4053011466
8.250000000000014e-05,0.01299772580259555,-24.14081728357298,-2.4320874092831177e-22,0.0054096046333659,1.0,0.0,0.0,0.0,0.0,0.0,-3.387880754673156e-08,-0.0008090384768672795,2.381104130185681e-28,-6.032593468531785e-38,-1.1151634689388117e-35,0.012997725802639703,24.14081729712975,541692.1019869037,75712973.0115263,75712973.05791709,58089.76005922676
8.375000000000014e-05,0.012967547147787407,-24.14292384651531,-2.186740221263923e-22,0.005521886705265392,1.0,0.0,0.0,0.0,0.0,0.0,-3.490542595543621e-08,-0.000821294726963723,2.617529255939342e-28,-8.604574224465788e-38,-1.5582670713364873e-35,0.012967547147834387,24.142923860484725,488215.92190204415,77284475.93190055,77284475.97925423,59259.960948117
8.500000000000014e-05,0.012937366125411234,-24.144817900938282,-1.9556962779766444e-22,0.005637663744751867,1.0,0.0,0.0,0.0,0.0,0.0,-3.594736442078562e-08,-0.0008335507722795297,2.798396888727355e-28,-1.225848770111337e-37,-2.17439142455505e-35,0.012937366125461175,24.144817915326605,438431.3416527336,78904894.51331168,78904894.56165822,60466.441425051446
8.625000000000014e-05,0.012907182985616661,-24.146511835658686,-1.7421760446978195e-22,0.005757081116350215,1.0,0.0,0.0,0.0,0.0,0.0,-3.70046227469557e-08,-0.0008458066609360605,2.8801360507911137e-28,-1.7443388982034478e-37,-3.0299015472432613e-35,0.012907182985669707,24.14651185047219,392654.65922265896,80576263.28158846,80576263.33095908,61710.70988535216
8.750000000000015e-05,0.01287699795958052,-24.148020828913104,-1.5475809698568623e-22,0.005880291872021852,1.0,0.0,0.0,0.0,0.0,0.0,-3.807720084544803e-08,-0.0008580624787938653,2.808171040017573e-28,-2.4792219900450464e-37,-4.2161546467464756e-35,0.012876997959636817,24.148020844158065,350959.8318104162,82300724.35612951,82300724.40655676,62994.3545776435
8.875000000000015e-05,0.01284681125798951,-24.14936127280871,-1.3718444896542306e-22,0.006007457257306277,1.0,0.0,0.0,0.0,0.0,0.0,-3.916509879417862e-08,-0.0008703183589844729,2.5244016253645343e-28,-3.519610376900329e-37,-5.858735611676261e-35,0.012846811258049208,24.149361288491406,313226.1408563497,84080534.5338743,84080534.58539206,64319.048818101226
9.000000000000015e-05,0.012816623071112261,-24.15054950179814,-1.2138184544966486e-22,0.006138747248403681,1.0,0.0,0.0,0.0,0.0,0.0,-4.026831690038259e-08,-0.0008825744849631763,1.983913977057997e-28,-4.990823976025347e-37,-8.130036592275664e-35,0.01281662307117552,24.150549517924848,279190.2311191102,85918072.8063259,85918072.85896955,65686.55653676632
9.125000000000016e-05,0.012786433570042437,-24.151600855859346,-1.071669801417788e-22,0.006274341125611726,1.0,0.0,0.0,0.0,0.0,0.0,-4.138685574924206e-08,-0.0008948310790875747,1.1801781688951868e-28,-7.068906207004541e-37,-1.1266372142485874e-34,0.012786433570109416,24.151600872436354,248499.8555647809,87815848.38538761,87815848.43919407,67098.73819558392
