replicate_index,disc_index,theta_rad,phi_rad,point_count,capture_velocity_mean_m_per_s,capture_velocity_sample_std_m_per_s,loading_rate_atoms_per_s
1,0,1.457732450100625,1.2321308014259056,25,24.175,5.600445538916971,45830777.5938617
2,1,1.3384844104219924,0.8609172676841867,25,21.75,5.639629413523108,32049688.685085528
3,2,1.5673420794615047,0.24216107092987377,25,25.05625,5.325673006179595,50796746.74216362
4,3,0.40060196789834845,1.0446245108769725,25,21.85,7.775521862510258,42637253.827875696
5,4,1.146840186104423,0.13255032373604866,25,25.21875,6.499574304970545,57346524.00375848
6,5,0.9404099994359895,0.6007277038522987,25,27.909375,9.007705215825412,97096705.83374682
7,6,0.9259539759492723,0.5056439283308706,25,24.8375,7.507114680976529,59470717.314213686
8,7,0.24976483536291105,0.9156687054618924,25,28.44375,5.563443564634677,80520870.41492648
9,8,0.8986655624347945,1.290641528889039,25,22.30625,7.099965155430929,42032903.42368954
10,9,1.3592910432132472,1.0202241064044864,25,24.9375,6.704199360289042,56988143.83339612
