replicate_index,disc_index,theta_rad,phi_rad,point_count,capture_velocity_mean_m_per_s,capture_velocity_sample_std_m_per_s,loading_rate_atoms_per_s
1,0,1.457732450100625,1.2321308014259056,25,23.05,5.655861519808455,39520310.99126951
2,1,1.3384844104219924,0.8609172676841867,25,20.784375,5.297950357901787,26583264.03904292
3,2,1.5673420794615047,0.24216107092987377,25,23.8625,5.775532082270285,44590808.304331794
4,3,0.40060196789834845,1.0446245108769725,25,20.55625,7.7028872934926165,35662391.96886021
5,4,1.146840186104423,0.13255032373604866,25,24.03125,6.651798198294453,49430193.4011853
6,5,0.9404099994359895,0.6007277038522987,25,26.5875,8.809978584324142,81984928.40927048
7,6,0.9259539759492723,0.5056439283308706,25,23.5625,7.291062102913516,49642288.29597514
8,7,0.24976483536291105,0.9156687054618924,25,26.60625,6.575124266094393,68395624.4216473
9,8,0.8986655624347945,1.290641528889039,25,21.01875,6.835843749357134,34094663.52425814
10,9,1.3592910432132472,1.0202241064044864,25,23.84375,6.48672773582721,48338590.68037407
